"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
6.17551071709846e-36,65,349,10.2912320916905,"Response to cadmium ion "," http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0046686","PGK1 OASA1 SAM1 MDH1 APX1 GLX1  GAPC-2 ATARCA APT1 ATS9 YchF1 ANNAT1 GAPB mMDH1 EIF4A-2 PBG1 MDAR5 cICDH TPX1 ATGSTU19 FBA3 ACO3 NAP1 PAG1 RPS5 LOS2 ATSFGH TRIP-1 ATPDIL2-1 ATMS2 PRXIIF TCTP1 CCT4 PAC1 PKP1 ATPHS2 ATMDAR1 PPA4 CTIMC GPX6 IIL1 SHM4 GSH1 HSP90-7 IBI1 ASP5 CCoAOMT1 AtPPa6 CPN20 GS2 PGIC PKP2 GLT1"
1.26994074640682e-32,71,493,7.95776064908722,"Response to metal ion "," http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0010038","PGK1 OASA1 SAM1 MDH1 APX1 CSD1 GLX1  GAPC-2 PAB1 ATARCA APT1 ATS9 YchF1 ANNAT1 GAPB mMDH1 EIF4A-2 PBG1 MDAR5 cICDH TPX1 ATGSTU19 FBA3 ACO3 NAP1 PAG1 CSD2 RPS5 LOS2 ATSFGH TRIP-1 ATPDIL2-1 ATMS2 PRXIIF MSD1 TCTP1 CCT4 PAC1 PKP1 ATPHS2 ATMDAR1 PPA4 CTIMC GPX6 IIL1 SHM4 GSH1 HSP90-7 IBI1 PBA1 ASP5 CCoAOMT1 AtPPa6 CPN20 GS2 PGIC PKP2 GLT1"
1.25777568858757e-27,99,1101,4.96852316076294,"Cellular amide metabolic process "," http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0043603","PDH-E1 ALPHA EIF2 GAMMA  ATARCA RPL17A RPL9B EIF4A-2 LOS1 ATGSTU19 SPP RPS5 RPS5A EIF2 RPP0A MTHFR2 TRIP-1 RPL22B ACLB-1 FOLD2 CARA RPL26A EIF3E RPL1 TIF3A1 HMGS SHM4 ATRLI2 TUFA IBI1 2 RPS23B RPB15.9 EIF2 BETA SHM2 THRRS RPS1 PDH2 RPL24 GSH1 PAB2 MEE63 RPL23A RPS15AF RPL21A TIF3H1 PFL RPL34A ARP1 RPL18 Y14 RPL27AC RPL31 RPL14A RPL28 RPL40B RPL11A RPL3A RPL38A EIF3G1 RPL19B RPL36AB ATL5 RPL15 RPL12C RPL9 ATBBC1 RPL23AB emb1624 RPS27B RPL5 RPL27C EIF4E1 RPL32A RPL39A TIF3K1 RPS6B NCBP RPS21C RPS3C RPL27 OMT1 eIFiso4G1 RPL29"
1.25777568858757e-27,88,941,5.16740488841658,"Peptide metabolic process "," http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006518","EIF2 GAMMA  ATARCA RPL17A RPL9B EIF4A-2 LOS1 ATGSTU19 SPP RPS5 RPS5A EIF2 RPP0A TRIP-1 RPL22B RPL26A EIF3E RPL1 TIF3A1 ATRLI2 TUFA IBI1 2 RPS23B RPB15.9 EIF2 BETA THRRS RPS1 RPL24 GSH1 PAB2 MEE63 RPL23A RPS15AF RPL21A TIF3H1 PFL RPL34A ARP1 RPL18 Y14 RPL27AC RPL31 RPL14A RPL28 RPL40B RPL11A RPL3A RPL38A EIF3G1 RPL19B RPL36AB ATL5 RPL15 RPL12C RPL9 ATBBC1 RPL23AB emb1624 RPS27B RPL5 RPL27C EIF4E1 RPL32A RPL39A TIF3K1 RPS6B NCBP RPS21C RPS3C RPL27 eIFiso4G1 RPL29"
7.15773664701558e-25,81,863,5.18625260718424,"Peptide biosynthetic process "," http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0043043","EIF2 GAMMA  ATARCA RPL17A RPL9B EIF4A-2 LOS1 RPS5 RPS5A EIF2 RPP0A TRIP-1 RPL22B RPL26A EIF3E RPL1 TIF3A1 ATRLI2 TUFA IBI1 RPS23B RPB15.9 EIF2 BETA THRRS RPS1 RPL24 GSH1 PAB2 MEE63 RPL23A RPS15AF RPL21A TIF3H1 PFL RPL34A ARP1 RPL18 Y14 RPL27AC RPL31 RPL14A RPL28 RPL40B RPL11A RPL3A RPL38A EIF3G1 RPL19B RPL36AB ATL5 RPL15 RPL12C RPL9 ATBBC1 RPL23AB emb1624 RPS27B RPL5 RPL27C EIF4E1 RPL32A RPL39A TIF3K1 RPS6B NCBP RPS21C RPS3C RPL27 eIFiso4G1 RPL29"
1.1821791172465e-24,86,949,5.00739304531085,"Amide biosynthetic process "," http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0043604","PDH-E1 ALPHA EIF2 GAMMA  ATARCA RPL17A RPL9B EIF4A-2 LOS1 RPS5 RPS5A EIF2 RPP0A TRIP-1 RPL22B ACLB-1 CARA RPL26A EIF3E RPL1 TIF3A1 ATRLI2 TUFA IBI1 RPS23B RPB15.9 EIF2 BETA THRRS RPS1 PDH2 RPL24 GSH1 PAB2 MEE63 RPL23A RPS15AF RPL21A TIF3H1 PFL RPL34A ARP1 RPL18 Y14 RPL27AC RPL31 RPL14A RPL28 RPL40B RPL11A RPL3A RPL38A EIF3G1 RPL19B RPL36AB ATL5 RPL15 RPL12C RPL9 ATBBC1 RPL23AB emb1624 RPS27B RPL5 RPL27C EIF4E1 RPL32A RPL39A TIF3K1 RPS6B NCBP RPS21C RPS3C RPL27 OMT1 eIFiso4G1 RPL29"
1.34311406450003e-24,80,858,5.15207459207459,"Translation "," http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006412","EIF2 GAMMA  ATARCA RPL17A RPL9B EIF4A-2 LOS1 RPS5 RPS5A EIF2 RPP0A TRIP-1 RPL22B RPL26A EIF3E RPL1 TIF3A1 ATRLI2 TUFA IBI1 RPS23B RPB15.9 EIF2 BETA THRRS RPS1 RPL24 PAB2 MEE63 RPL23A RPS15AF RPL21A TIF3H1 PFL RPL34A ARP1 RPL18 Y14 RPL27AC RPL31 RPL14A RPL28 RPL40B RPL11A RPL3A RPL38A EIF3G1 RPL19B RPL36AB ATL5 RPL15 RPL12C RPL9 ATBBC1 RPL23AB emb1624 RPS27B RPL5 RPL27C EIF4E1 RPL32A RPL39A TIF3K1 RPS6B NCBP RPS21C RPS3C RPL27 eIFiso4G1 RPL29"
1.01528688832437e-22,63,561,6.2052192513369,"Generation of precursor metabolites and energy "," http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006091","MDH1 GAPC-2 LHCB6 LHCA3 PGK FBA3 ACO3  TIM PSBW LOS2 FUM1 MPPBETA PGD2 LHCB4.2 PGK1 PKP1 ATPHS2 LHCA4 LHCA1 CTIMC LHCA2 CYTC-2 LHCB5 CI51 ATP5 CBR1 PGL3 EMB1467 PGIC PKP2 RPE PSAO ADNT1 PDH-E1 ALPHA SDH6 mMDH1 FD2 cICDH CYTB5-B ATGRX4 PETC CIB22 GRXC4 HOT5 ADG1 PDH2 ATB5-A FRO1 PSBR TROL PSBP-1"
5.79560503076248e-20,81,1018,4.39659724950884,"Response to inorganic substance "," http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0010035","CSD1 CSD2 PGK1 NDK1 OASA1 CPN20  MSD1 SAM1 MDH1 APX1 RBP45B GLX1 GAPC-2 PAB1 ATARCA APT1 ATS9 YchF1 ANNAT1 GAPB mMDH1 ALDH7B4 EIF4A-2 PBG1 MDAR5 cICDH TPX1 ATGSTU19 FBA3 ACO3 NAP1 PAG1 RPS5 LOS2 CYT1 ATSFGH TRIP-1 ATPDIL2-1 ATMS2 PRXIIF TCTP1 CCT4 PAC1 PKP1 ATPHS2 ATMDAR1 PPA4 CTIMC GPX6 IIL1 SHM4 GSH1 HSP90-7 IBI1 PBA1 ASP5 CCoAOMT1 AtPPa6 GS2 PGIC ATBI-1 PKP2 GLT1 CTL1 AVP1 CYS6 NAA10"
1.49343664252214e-19,124,1854,3.6956548004315,"Organonitrogen compound biosynthetic process "," http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:1901566","PDH-E1 ALPHA EIF2 GAMMA  ATARCA RPL17A APT1 RPL9B EMB1144 EIF4A-2 LOS1 ATGSR2 HEMB1 ATPC RPS5 RPS5A EIF2 RPP0A MTHFR2 TRIP-1 ATMS2 RPL22B ACLB-1 CARA RPL26A ATPQ CRD1 EIF3E RPL1 TIF3A1 SHM4 OASA1 ATRLI2 TUFA RPN2 IBI1 RPS23B SIR RPB15.9 PAS2 ATP5 EIF2 BETA PYR6 SHM2 THRRS RPS1 GS2 PDH2 GLT1 RPL24 OST48 GSH1 PAB2 MEE63 RPL23A RPS15AF RPL21A TIF3H1 PFL GGT1 RPL34A ARP1 RPL18 Y14 RPL27AC RPL31 VHA-A RPL14A THIC RPL28 RPL40B RPL11A RPL3A RPL38A MTO1 EIF3G1 RPL19B RPL36AB ATL5 RPL15 RPL12C RPL9 ATBBC1 RPL23AB emb1624 RPS27B RPL5 NDK1 IIL1 RPL27C EIF4E1 RPL32A RPL39A TIF3K1 DHS2 AGD2 DHS1 RPS6B NCBP RPS21C RPS3C EMB1467 RPL27 OMT1 THI1 eIFiso4G1 RPL29 ROC4 MI-1-P SYNTHASE"
