"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.7292585424632e-52,76,390,10.7894147268897,"RNA modification "," http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0009451","AT1G03510 AT1G03540 AT1G09190 AT1G15510 AT1G16480 AT1G20230 AT1G25360 AT1G28690 AT1G31430 AT1G31790 AT1G33350 AT1G34160 AT1G43980 AT1G53600 AT1G56570 AT1G62260 AT1G64310 AT1G68930 AT1G71460 AT1G71490 AT1G74600 AT1G77010 AT2G02750 AT2G03380 AT2G13600 AT2G20540 AT2G22070 AT2G27610 AT2G33680 AT2G33760 AT2G34400 AT2G35030 AT2G36730 AT2G36980 AT2G37310 AT3G02330 AT3G05240 AT3G08820 AT3G09040 AT3G11460 AT3G13770 AT3G14730 AT3G23330 AT3G25970 AT3G26540 AT3G26782 AT3G47840 AT3G49142 AT3G50420 AT3G58590 AT4G02750 AT4G13650 AT4G16835 AT4G18750 AT4G19220 AT4G20770 AT4G21300 AT4G32430 AT4G38010 AT4G39530 AT4G39952 AT5G04780 AT5G08305 AT5G08490 AT5G13230 AT5G15300 AT5G16860 AT5G19040 AT5G37570 AT5G39350 AT5G39680 AT5G56310 AT5G59600 AT5G61800 AT5G66500 AT2G03880"
1.85000090108199e-07,117,3653,1.77331174805126,"Macromolecule modification "," http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0043412","AT1G03510 AT1G03540 AT1G07710 AT1G09190 AT1G15330 AT1G15510 AT1G16480 AT1G20230 AT1G25360 AT1G28690 AT1G31430 AT1G31790 AT1G33350 AT1G34110 AT1G34160 AT1G43980 AT1G53600 AT1G56570 AT1G62260 AT1G64310 AT1G68930 AT1G71460 AT1G71490 AT1G74360 AT1G74600 AT1G77010 AT2G01905 AT2G02750 AT2G03380 AT2G13600 AT2G20540 AT2G22070 AT2G26040 AT2G27610 AT2G33680 AT2G33760 AT2G34400 AT2G35030 AT2G36730 AT2G36980 AT2G37310 AT2G41970 AT2G46850 AT3G02330 AT3G05240 AT3G08820 AT3G09040 AT3G11460 AT3G13770 AT3G14250 AT3G14730 AT3G23330 AT3G25970 AT3G26540 AT3G26782 AT3G47840 AT3G49142 AT3G50420 AT3G58590 AT4G02750 AT4G13650 AT4G14480 AT4G16835 AT4G18750 AT4G19220 AT4G20770 AT4G21300 AT4G32430 AT4G38010 AT4G39530 AT4G39952 AT5G02750 AT5G04780 AT5G08305 AT5G08490 AT5G10720 AT5G13230 AT5G15300 AT5G16860 AT5G19040 AT5G22470 AT5G35370 AT5G37570 AT5G39350 AT5G39680 AT5G48940 AT5G56310 AT5G57500 AT5G59600 AT5G61350 AT5G61800 AT5G66500 AT1G62400 AT4G28650 AT1G03010 AT1G19250 AT1G30950 AT1G34420 AT2G19410 AT2G24130 AT3G05320 AT3G16360 AT3G56230 AT4G21065 AT5G03795 AT5G04500 AT5G06740 AT5G10530 AT5G11620 AT5G19970 AT5G20260 AT5G37478 AT5G42120 AT5G42340 AT5G58770 AT2G03880 AT3G24140"
1.33508488954815e-06,123,4068,1.67406789981142,"RNA metabolic process "," http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016070","AT1G03510 AT1G03540 AT1G09190 AT1G15510 AT1G16480 AT1G20230 AT1G25360 AT1G28690 AT1G30950 AT1G31430 AT1G31790 AT1G33350 AT1G34160 AT1G43980 AT1G53600 AT1G56570 AT1G62260 AT1G64310 AT1G68930 AT1G71460 AT1G71490 AT1G74600 AT1G77010 AT2G02750 AT2G03380 AT2G13600 AT2G20540 AT2G22070 AT2G27610 AT2G33680 AT2G33760 AT2G34400 AT2G35030 AT2G36730 AT2G36980 AT2G37310 AT3G02330 AT3G05240 AT3G06120 AT3G08820 AT3G09040 AT3G11460 AT3G13770 AT3G13840 AT3G14730 AT3G22830 AT3G23330 AT3G24080 AT3G24140 AT3G25970 AT3G26540 AT3G26782 AT3G47840 AT3G49142 AT3G49950 AT3G50420 AT3G57600 AT3G58590 AT4G02750 AT4G08250 AT4G13650 AT4G15417 AT4G16835 AT4G18750 AT4G19220 AT4G20770 AT4G20970 AT4G21300 AT4G32430 AT4G36740 AT4G38010 AT4G39530 AT4G39952 AT5G04780 AT5G08305 AT5G08490 AT5G13230 AT5G15300 AT5G16860 AT5G19040 AT5G37570 AT5G39350 AT5G39680 AT5G53210 AT5G56310 AT5G59600 AT5G61800 AT5G66500 AT1G68290 AT2G36270 AT5G18600 AT1G02460 AT1G65910 AT1G71692 AT1G79580 AT2G24430 AT2G40740 AT3G11260 AT3G13540 AT3G14880 AT3G17730 AT3G23240 AT3G27970 AT4G04025 AT4G10350 AT4G17800 AT4G34410 AT4G35590 AT5G06839 AT5G10720 AT5G13080 AT5G13910 AT5G15130 AT5G19790 AT5G22380 AT5G35550 AT5G56110 AT5G61850 AT1G66170 AT2G03880 AT4G27670 AT5G22260 AT2G41940"
3.09861718793574e-06,133,4601,1.60047284309981,"Nucleic acid metabolic process "," http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0090304","AT1G03510 AT1G03540 AT1G09190 AT1G15510 AT1G16480 AT1G20230 AT1G22260 AT1G25360 AT1G28690 AT1G30950 AT1G31430 AT1G31790 AT1G33350 AT1G34160 AT1G43980 AT1G53600 AT1G56570 AT1G62260 AT1G63990 AT1G64310 AT1G68930 AT1G71460 AT1G71490 AT1G74600 AT1G77010 AT2G02750 AT2G03380 AT2G13600 AT2G20540 AT2G22070 AT2G27610 AT2G33680 AT2G33760 AT2G34400 AT2G35030 AT2G36730 AT2G36980 AT2G37310 AT3G02330 AT3G05240 AT3G06120 AT3G08820 AT3G09040 AT3G11460 AT3G13770 AT3G13840 AT3G14730 AT3G22830 AT3G23330 AT3G24080 AT3G24140 AT3G25970 AT3G26540 AT3G26782 AT3G47840 AT3G49142 AT3G49950 AT3G50420 AT3G57600 AT3G58590 AT4G02750 AT4G08250 AT4G13650 AT4G14180 AT4G15417 AT4G16835 AT4G17380 AT4G18750 AT4G19220 AT4G20770 AT4G20970 AT4G21300 AT4G32430 AT4G36740 AT4G38010 AT4G39530 AT4G39952 AT5G04780 AT5G05490 AT5G08305 AT5G08490 AT5G13230 AT5G15300 AT5G16860 AT5G19040 AT5G22470 AT5G37570 AT5G39350 AT5G39680 AT5G53210 AT5G56310 AT5G57450 AT5G59600 AT5G61800 AT5G66500 AT1G68290 AT2G36270 AT5G18600 AT1G02460 AT1G65910 AT1G71692 AT1G79580 AT2G24430 AT2G40740 AT3G11260 AT3G13540 AT3G14880 AT3G17730 AT3G23240 AT3G27970 AT4G04025 AT4G10350 AT4G17800 AT4G21065 AT4G34410 AT4G35590 AT5G06839 AT5G10720 AT5G13080 AT5G13910 AT5G15130 AT5G19790 AT5G22380 AT5G35550 AT5G56110 AT5G61850 AT1G07060 AT1G66170 AT2G03880 AT4G27670 AT5G22260 AT5G51330 AT2G41940"
2.81462281792277e-05,5,8,34.6042084168337,"Sporopollenin biosynthetic process "," http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0080110","AT1G02050 AT1G62940 AT1G69500 AT3G13220 AT4G34850"
3.28219019042383e-05,40,889,2.49119160706114,"Cellular developmental process "," http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0048869","AT1G09540 AT1G34245 AT3G13540 AT3G23250 AT5G19040 AT5G35550 AT5G49150 AT5G56110 AT1G30950 AT1G65480 AT2G41940 AT3G11980 AT4G28650 AT5G61850 AT1G03010 AT1G64110 AT3G47440 AT4G11720 AT5G45890 AT3G24140 AT3G56960 AT1G02050 AT1G12560 AT1G62940 AT1G66170 AT1G69500 AT1G79580 AT2G40470 AT2G41970 AT3G06120 AT3G13220 AT3G20580 AT4G34850 AT4G34940 AT5G05500 AT5G13080 AT5G22260 AT5G46220 AT5G60740 AT5G61350"
4.1407123313473e-05,8,36,12.3037185482075,"Mitochondrial RNA modification "," http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:1900864","AT1G34160 AT1G64310 AT1G74600 AT2G13600 AT2G20540 AT3G02330 AT3G05240 AT5G08490"
7.10355757617013e-05,135,5000,1.49490180360721,"Nucleobase-containing compound metabolic process "," http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006139","AT1G03510 AT1G03540 AT1G09190 AT1G15510 AT1G16480 AT1G20230 AT1G22260 AT1G25360 AT1G28690 AT1G30950 AT1G31430 AT1G31790 AT1G33350 AT1G34160 AT1G43980 AT1G53600 AT1G56570 AT1G62260 AT1G62940 AT1G63990 AT1G64310 AT1G68930 AT1G71460 AT1G71490 AT1G74600 AT1G77010 AT2G02750 AT2G03380 AT2G13600 AT2G20540 AT2G22070 AT2G27610 AT2G33680 AT2G33760 AT2G34400 AT2G35030 AT2G36730 AT2G36980 AT2G37310 AT3G02330 AT3G05240 AT3G06120 AT3G08820 AT3G09040 AT3G11460 AT3G11980 AT3G13770 AT3G13840 AT3G14730 AT3G22830 AT3G23330 AT3G24080 AT3G24140 AT3G25970 AT3G26540 AT3G26782 AT3G47840 AT3G49142 AT3G49950 AT3G50420 AT3G57600 AT3G58590 AT4G02750 AT4G08250 AT4G13650 AT4G14180 AT4G15417 AT4G16835 AT4G17380 AT4G18750 AT4G19220 AT4G20770 AT4G20970 AT4G21300 AT4G32430 AT4G36740 AT4G38010 AT4G39530 AT4G39952 AT5G04780 AT5G05490 AT5G08305 AT5G08490 AT5G13230 AT5G15300 AT5G16860 AT5G19040 AT5G22470 AT5G37570 AT5G39350 AT5G39680 AT5G53210 AT5G56310 AT5G57450 AT5G59600 AT5G61800 AT5G66500 AT1G68290 AT2G36270 AT5G18600 AT1G02460 AT1G65910 AT1G71692 AT1G79580 AT2G24430 AT2G40740 AT3G11260 AT3G13540 AT3G14880 AT3G17730 AT3G23240 AT3G27970 AT4G04025 AT4G10350 AT4G17800 AT4G21065 AT4G34410 AT4G35590 AT5G06839 AT5G10720 AT5G13080 AT5G13910 AT5G15130 AT5G19790 AT5G22380 AT5G35550 AT5G56110 AT5G61850 AT1G07060 AT1G66170 AT2G03880 AT4G27670 AT5G22260 AT5G51330 AT2G41940"
0.000265047990782686,7,33,11.7444586141981,"Mitochondrial mRNA modification "," http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0080156","AT1G34160 AT1G74600 AT2G13600 AT2G20540 AT3G02330 AT3G05240 AT5G08490"
0.000315965507386511,93,3198,1.61010200513598,"Multicellular organismal process "," http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0032501","AT1G12740 AT1G18100 AT1G34245 AT2G27550 AT3G06120 AT3G13840 AT3G24140 AT3G61730 AT5G14400 AT5G16020 AT5G19040 AT5G36110 AT5G49150 AT5G53210 AT2G26490 AT5G44120 AT1G02050 AT1G30950 AT1G65480 AT1G71692 AT1G79580 AT2G36270 AT2G41940 AT2G44990 AT3G11260 AT3G11980 AT4G10350 AT4G26200 AT4G28650 AT4G34850 AT5G06760 AT5G10720 AT5G20820 AT5G51330 AT5G56110 AT5G61850 AT1G03010 AT1G64110 AT3G47440 AT3G54420 AT4G11720 AT5G04500 AT5G45890 AT1G34110 AT3G26540 AT3G56960 AT4G32810 AT5G15100 AT5G16530 AT5G48940 AT5G59810 AT1G03055 AT1G04110 AT1G05510 AT1G08090 AT1G09540 AT1G12480 AT1G12560 AT1G15330 AT1G42550 AT1G58340 AT1G62940 AT1G63990 AT1G66170 AT1G69500 AT1G72490 AT1G74360 AT2G13810 AT2G33100 AT2G41970 AT3G05320 AT3G13220 AT3G13540 AT3G14900 AT3G20580 AT3G22490 AT3G59030 AT4G10950 AT4G18750 AT4G34410 AT4G34940 AT5G05500 AT5G06720 AT5G06839 AT5G13080 AT5G13910 AT5G19790 AT5G22260 AT5G46220 AT5G55490 AT5G60740 AT5G61350 AT1G48130"
