NA_NA_NA_(1);A.thaliana_root_whole_root_5d_(2);A.thaliana_root_whole_root_5d_(3);A.thaliana_root_whole_root_5d_(1);A.lyrata_root_whole_root_6d_(2);A.lyrata_root_whole_root_6d_(3);A.lyrata_root_whole_root_6d_(1);C.rubella_root_whole_root_4d_(2);C.rubella_root_whole_root_4d_(3);C.rubella_root_whole_root_4d_(1);E.salsugineum_root_whole_root_6d_(2);E.salsugineum_root_whole_root_6d_(3);E.salsugineum_root_whole_root_6d_(1);A.thaliana_hypocotyl_10d_(2);A.thaliana_hypocotyl_10d_(3);A.thaliana_hypocotyl_10d_(1);A.lyrata_hypocotyl_12d_(2);A.lyrata_hypocotyl_12d_(3);A.lyrata_hypocotyl_12d_(1);C.rubella_hypocotyl_9d_(2);C.rubella_hypocotyl_9d_(3);C.rubella_hypocotyl_9d_(1);E.salsugineum_hypocotyl_12d_(2);E.salsugineum_hypocotyl_12d_(3);E.salsugineum_hypocotyl_12d_(1);A.thaliana_leaf_1+2_7d_(2);A.thaliana_leaf_1+2_7d_(3);A.thaliana_leaf_1+2_7d_(1);A.lyrata_leaf_1+2_10d_(2);A.lyrata_leaf_1+2_10d_(3);A.lyrata_leaf_1+2_10d_(1);C.rubella_leaf_1+2_7d_(2);C.rubella_leaf_1+2_7d_(3);C.rubella_leaf_1+2_7d_(1);E.salsugineum_leaf_1+2_9d_(2);E.salsugineum_leaf_1+2_9d_(3);E.salsugineum_leaf_1+2_9d_(1);A.thaliana_apex_vegetative_7d_(2);A.thaliana_apex_vegetative_7d_(3);A.thaliana_apex_vegetative_7d_(1);A.lyrata_apex_vegetative_11d_(2);A.lyrata_apex_vegetative_11d_(3);A.lyrata_apex_vegetative_11d_(1);C.rubella_apex_vegetative_7d_(2);C.rubella_apex_vegetative_7d_(3);C.rubella_apex_vegetative_7d_(1);E.salsugineum_apex_vegetative_9d_(2);E.salsugineum_apex_vegetative_9d_(3);E.salsugineum_apex_vegetative_9d_(1);A.thaliana_apex_inflorescence_21d_(2);A.thaliana_apex_inflorescence_21d_(3);A.thaliana_apex_inflorescence_21d_(1);A.lyrata_apex_inflorescence_8w/10w/13d_(2);A.lyrata_apex_inflorescence_8w/10w/13d_(3);A.lyrata_apex_inflorescence_8w/10w/13d_(1);C.rubella_apex_inflorescence_6w/7w/17d_(2);C.rubella_apex_inflorescence_6w/7w/17d_(3);C.rubella_apex_inflorescence_6w/7w/17d_(1);E.salsugineum_apex_inflorescence_7w/8w/12d_(2);E.salsugineum_apex_inflorescence_7w/8w/12d_(3);E.salsugineum_apex_inflorescence_7w/8w/12d_(1);A.thaliana_flower_stg12_21d+_(2);A.thaliana_flower_stg12_21d+_(3);A.thaliana_flower_stg12_21d+_(1);A.lyrata_flower_stg12_8w/10w/15d_(2);A.lyrata_flower_stg12_8w/10w/15d_(3);A.lyrata_flower_stg12_8w/10w/15d_(1);C.rubella_flower_stg12_6w/7w/20d_(2);C.rubella_flower_stg12_6w/7w/20d_(3);C.rubella_flower_stg12_6w/7w/20d_(1);E.salsugineum_flower_stg12_7w/8w/15d_(2);E.salsugineum_flower_stg12_7w/8w/15d_(3);E.salsugineum_flower_stg12_7w/8w/15d_(1);A.thaliana_flower_stg12_stamens_21d+_(2);A.thaliana_flower_stg12_stamens_21d+_(3);A.thaliana_flower_stg12_stamens_21d+_(1);A.lyrata_flower_mid_stg12_stamens_8w/10w/24d_(2);A.lyrata_flower_mid_stg12_stamens_8w/10w/24d_(3);A.lyrata_flower_mid_stg12_stamens_8w/10w/24d_(1);C.rubella_flower_mid_stg12_stamens_6w/7w/20d_(2);C.rubella_flower_mid_stg12_stamens_6w/7w/20d_(3);C.rubella_flower_mid_stg12_stamens_6w/7w/20d_(1);E.salsugineum_flower_mid_stg12_stamens_7w/8w/17d_(2);E.salsugineum_flower_mid_stg12_stamens_7w/8w/17d_(3);E.salsugineum_flower_mid_stg12_stamens_7w/8w/17d_(1);A.thaliana_flower_early_stg12_carpels_21d+_(2);A.thaliana_flower_early_stg12_carpels_21d+_(3);A.thaliana_flower_early_stg12_carpels_21d+_(1);A.lyrata_flower_early_stg12_carpels_8w/10w/17d_(2);A.lyrata_flower_early_stg12_carpels_8w/10w/17d_(3);A.lyrata_flower_early_stg12_carpels_8w/10w/17d_(1);C.rubella_flower_early_stg12_carpels_6w/7w/21d_(2);C.rubella_flower_early_stg12_carpels_6w/7w/21d_(3);C.rubella_flower_early_stg12_carpels_6w/7w/21d_(1);E.salsugineum_flower_early_stg12_carpels_7w/8w/18d_(2);E.salsugineum_flower_early_stg12_carpels_7w/8w/18d_(3);E.salsugineum_flower_early_stg12_carpels_7w/8w/18d_(1);A.thaliana_flowers_mature_pollen_28d_(2);A.thaliana_flowers_mature_pollen_28d_(3);A.thaliana_flowers_mature_pollen_28d_(1);A.lyrata_flowers_mature_pollen_8w/10w/25d_(2);A.lyrata_flowers_mature_pollen_8w/10w/25d_(3);A.lyrata_flowers_mature_pollen_8w/10w/25d_(1);C.rubella_flowers_mature_pollen_6w/7w/22d_(2);C.rubella_flowers_mature_pollen_6w/7w/22d_(3);C.rubella_flowers_mature_pollen_6w/7w/22d_(1);E.salsugineum_flowers_mature_pollen_7w/8w/17d_(2);E.salsugineum_flowers_mature_pollen_7w/8w/17d_(3);E.salsugineum_flowers_mature_pollen_7w/8w/17d_(1)
AT1G08103:ALlnc_1427:CRlnc_1189:ESlnc_7481;9.151881274399038;9.133566853935559;8.9373677220797;5.599959483456661;5.610839797294226;5.266212260355523;8.999555342329181;9.057156204594186;9.184555075564923;8.440217475532195;8.600137113597732;8.57032410664713;9.317782085866606;9.490080442752197;9.046055441724219;5.266212260355523;5.266212260355523;5.266212260355523;8.978322818356112;8.917128224969154;8.945761446721642;8.281602001313127;8.23195106432425;8.275781560164388;9.416399357893177;9.138471222179001;9.27007127172498;5.266212260355523;5.266212260355523;5.650090241229123;8.748490949704708;8.767230780628443;8.600962796915155;7.716984273278782;7.522154800711476;7.707794450690366;9.167725993885913;9.26473474938403;9.327294811764112;5.266212260355523;5.266212260355523;5.266212260355523;9.578950087208941;9.381034786476558;9.51166539869644;9.085610347175951;8.991144328964175;9.083744634419144;9.931401281221811;10.179500322177939;9.794918122727136;5.266212260355523;5.266212260355523;5.266212260355523;9.707960521336467;9.698694368398673;9.708640836921731;8.926447374287312;8.930871761738647;8.966862066267137;7.768120953746049;8.052681242039224;8.395986734021971;5.658789721675634;5.934382930442304;5.746390903604148;9.144242638795335;9.194778589886628;9.226795980501638;8.107274685961178;7.799274334938119;7.929458906686695;8.19433012801087;8.229597981765373;8.08737903932982;5.971099199432056;6.188701479343885;6.02362000539633;8.615619284032938;8.564988096203727;8.335022051809434;7.0662149759998405;6.794946527763322;7.010154515469386;9.30989846626866;9.093646131982753;9.187920580249905;5.266212260355523;5.495476687887313;5.5906876078821295;9.941586580560312;9.996543584358264;9.87753915575026;8.899278021173483;8.82400787934564;8.929191694580956;7.252923114559817;7.1981369382424;7.293006400173407;6.396025309932405;6.491062122541548;5.199599508539844;7.28408328194135;7.1156944494630965;7.4027261654209795;5.199599508539844;6.78785635415771;5.199599508539844
AT1G08857:ALlnc_2154:CRlnc_1589:ESlnc_2405;8.457154426955036;8.703233276846097;8.790476420551823;6.9245214804340325;6.817776112366201;7.053499146283221;8.796848086324536;8.759380135162582;8.79678590767091;8.289449592149943;7.868039930691022;8.044702385313444;8.742271945406502;8.688701720552933;8.656568741717512;6.146334849864425;6.247926875432402;6.048477980444996;8.792068211653774;8.663981589372595;8.633652511979342;8.362919607085034;8.102133536543498;8.130010391337267;8.927078581630045;8.9783806434795;8.939171763063772;6.90418178305428;6.813856843786761;6.6357408432427345;8.67139212276592;8.664427633587987;8.603076366695365;7.211283389743834;7.525399744037436;7.220879996353871;8.224377555197167;8.132148824571523;8.265309445868573;6.302542119382317;6.478790969112646;6.516734371429211;8.70253968548738;8.71050132543682;8.685086601036943;8.23348262659895;7.935411654561475;8.055225469536834;8.394082769612305;8.483871757205835;8.376778881324311;6.950525884249408;6.98396031192066;7.0083055096700315;8.8449406576756;8.86363127775267;8.815300459972935;8.608877132976842;8.39472882618214;8.355079323352015;8.345920935395663;8.335225659958079;8.187079863735915;6.761826905600339;6.6570980164861;6.364214680070016;8.361371829247934;8.611929878267496;8.510363677658889;8.375557239752991;8.354990806087251;8.223909924755347;7.642068610478184;7.620095271371226;7.344419029192158;6.271042289280006;6.720100535421847;6.152889322906449;8.619862949326716;8.852878345566326;8.570076708978613;8.657299966946827;8.225757212433058;8.386996771013987;8.020467549721097;7.895076391935592;7.890586585822143;6.939755570119958;7.121052007178427;6.952823402727548;8.770461958912088;8.824308290656138;8.878338360008962;8.40428391179061;8.266643440545522;8.249154770727282;7.183875754939184;7.785980153598281;7.100303603772565;5.199599508539844;5.199599508539844;5.199599508539844;7.477938501415453;8.01293059687147;7.524865193131309;7.941144115125432;7.594442489093749;7.924809654600672
AT1G09207:ALlnc_2238:CRlnc_1662:ESlnc_7833;6.3895019975125145;6.433356753078641;6.387721006703624;8.833665381015699;8.819793064694109;8.607428467812975;6.60336761462984;6.407848810624384;6.630151278898347;6.860523945263888;6.634429754520846;6.724287539231438;5.735561948770536;5.9114842870129625;5.753823625831394;6.455771541667874;6.753461802419207;6.412837684910776;5.889228281621059;5.65399949869066;5.656761543388658;6.009321158718798;5.949821769656183;5.9407386481934354;5.925417565850763;6.090102299171275;6.104177654725625;7.153501872470382;7.192179827528612;6.975404332604177;6.312292744248017;6.306225988698846;6.3466629242637085;6.982922406211247;6.782948598218712;6.657422503477361;6.28159289063098;6.345383417594258;6.285954648951971;6.632525738008379;6.755500969047911;6.759729557266707;5.510052840574002;5.521149577551258;5.643040365819053;6.238521489061473;6.040933720632208;6.153685061908221;7.190411734881971;7.150194142952998;7.178311397571573;7.017302638878016;6.954303589398979;6.957021640098589;5.671432545532537;5.749027098495998;5.67848467918275;6.34565977532957;6.2295663337001415;6.021609965143824;7.057458284357499;7.173997141773928;7.190415273048298;8.45637486203459;8.300904477108745;8.331329221843827;7.422160903914647;7.419033169019904;7.634148868471396;8.173719800253636;7.995204543639099;8.127961767443761;6.503630843386847;6.60837025852341;6.662513958154565;6.5643091922578565;6.414988464941235;6.544889760036361;6.114654455179644;6.214680639854263;6.274037491609519;7.665710045110781;8.002376197229298;7.762581163850453;6.812105358322558;6.830989343085546;6.907705148864003;7.039675005206101;6.929292425401694;7.033428426717654;6.252593340048704;6.307678152384171;6.237938733531342;6.253437905454616;5.804642197856438;5.899984764183956;5.199599508539844;6.2051015666886356;5.199599508539844;5.199599508539844;5.199599508539844;5.199599508539844;6.695449691622868;6.332531949981879;6.802477200113682;6.194257009053622;6.219905108828487;7.0205085025530085
AT1G09377:ALlnc_7994:CRlnc_1326:ESlnc_4443;6.241522166658576;6.432628569626572;6.288258421574871;5.5361629137528885;5.659357665437611;5.492436877831104;6.588254226326587;6.703113871166539;6.46887895044355;6.436122334590182;6.609681056081194;6.50417342162312;5.622962453982375;5.668752886011168;5.598390247323633;5.510201689532237;5.512057396982434;5.434768954609353;6.225046334793484;6.57445708480344;6.530356359486693;6.736469660731184;6.54470934900379;6.620806434555572;5.622458884334746;5.266212260355523;6.106291802710357;5.653285987781566;5.6833693015888;5.703757361247984;6.044650452962112;6.267852085184024;5.855808101833473;6.757289969090684;6.749520615465633;6.586870486779516;5.810357103427515;5.677497771943368;5.687688009883675;5.750810393736865;5.5570428905888045;5.493089585654237;5.6119833532530246;5.938114528669787;5.862096845765277;6.842208847330075;6.732490546170823;6.4541017218115835;5.8740053812281685;5.742868687992805;5.837440446000177;5.555299010149428;5.563814831059075;5.55842754331142;6.072087515764276;6.063734480246221;5.895915220612074;6.560333728594153;6.4271798294112;6.427427809191531;5.926800208144232;6.070506387148213;5.950896638066845;5.814234939851963;5.70921943162984;5.6745579562271535;5.748604305911082;5.969290857753646;6.061609288946027;6.927914463375227;6.857709345947702;6.526090476719429;5.266212260355523;5.266212260355523;5.266212260355523;5.673067548597155;5.915504904884995;5.586322119281277;5.266212260355523;5.572591250764472;5.802907937604969;7.207020632616065;7.3285842805416;7.285714175116955;6.239441755838759;6.118734192883671;6.1808034356535595;5.6973491913934495;5.766367473502759;5.743633879497309;6.54969564603271;6.545124424094645;6.728700612560556;6.508614484889425;6.496733297165536;6.686088146061927;5.199599508539844;6.282487302172117;5.199599508539844;8.75245307736286;8.815607147211804;8.606311108011123;6.279623064662815;5.199599508539844;5.199599508539844;8.710444754371979;8.879752727012846;8.753057657821536
AT1G09797:ALlnc_2948:CRlnc_2606:ESlnc_668;11.054753908497709;11.363360104074154;11.146752507455625;9.555853313683684;9.413823143852433;9.60953027515875;7.388746021534018;7.919011780554193;7.585150731656978;10.743810558432127;10.988636287314122;10.824614749978666;11.834647590296886;11.823038320691584;11.904386848952358;9.328402956107308;9.559193102148305;9.534422339314144;7.723438580478642;7.494025040249768;7.353521096719586;10.648613256290897;10.756366436386525;11.068166209842067;11.602137604447684;11.808814365756684;11.849038400811287;10.303764203482862;10.184156593581891;10.308172470752371;6.037244590736802;5.942705865911172;6.224569237280523;11.402885759639414;11.469331283651389;11.496228093715336;10.530997870194001;10.613918891837239;11.061478259357301;9.921844261023203;9.890292874051658;10.005571102106426;5.746428141117318;6.1934902824149;5.725032742786761;10.400212645921227;11.089371830203282;10.687237659188188;10.806633203882757;10.943979254915252;11.108205599596628;8.957486263600629;8.755446454350016;8.668658763106903;6.061418869919825;5.800950252201211;6.112206999682573;8.970525106121526;9.455385782307811;9.402371915009258;12.491547990420024;12.558127191465413;12.50933918064871;10.528761591379618;10.373343820292579;10.44132201262558;7.0854742071128545;7.019438436906386;7.518924398211086;9.439007680293775;9.195446888853255;9.125103793396264;12.531137672068835;12.758917152236956;12.287722782632684;10.563277594094169;10.618213816850206;10.574183660322635;8.451468038139465;7.241226438869309;8.063648346866815;10.919768160807807;10.252029351199551;10.131529817405703;10.747355188340467;10.843403952174603;11.00713364399349;10.35931957635854;10.285233370080734;10.306126408841596;6.528011546357385;6.862930366859145;6.962944624343999;9.647219120133188;9.576895669863333;9.35072852713353;10.872683284801715;11.103442956080592;11.020612794053363;10.611425712404426;10.723582086932769;10.684318175009363;9.32324708972289;9.402349401894707;9.377441614657286;11.012935905194494;11.02814329169877;11.110775112577251
AT1G16489:ALlnc_193:CRlnc_162:ESlnc_4883;7.418726024438461;7.410913466447891;7.215674173996896;6.979261325519485;6.9177634945582085;6.977618508061943;6.8972497622008975;6.9127212070336235;7.075724673028647;6.015970312007058;6.148746237291378;6.152170712441733;7.330422475865507;7.283275884809703;7.25681234752278;7.197389654711936;7.329949748992706;7.309189575541133;6.954802002990478;7.124509673985515;7.096544518013135;6.395543222001834;6.413719810755406;6.141327040389024;7.321827947204405;7.358488389824925;7.307862580638338;7.3190980171017515;7.370632276354654;7.381233805634702;6.919712387200313;6.7616005048317955;6.9562443868010035;5.755274283699911;5.743172253378579;5.668718384357755;7.406061137634064;7.443970123850778;7.34938123276393;7.050820521335998;7.247615808104136;6.91022002830272;6.8048669260493195;7.140876034142725;6.996632001687206;6.246887444170758;6.029939687157149;5.996125265112883;7.832057506031107;7.63895213124851;7.730471744515668;7.360858035891361;7.625579035133375;7.565685394021654;7.33696184204589;7.276990312333991;7.388718446928873;6.585368537645154;6.6769204390589945;6.76207974152132;7.29466902057831;7.392514761748549;7.332805636952404;7.369295353058409;7.293814847524713;7.320997463499451;6.916606096177676;7.070070118823382;7.10375872516588;6.705367022433773;6.6388144113828185;6.509832391087053;7.214345193533051;7.32936373871024;7.2358153591697;7.630565679904138;7.535358131816907;7.120809887884325;7.068239523018471;7.1786632043072425;7.117848117405866;6.431556296871009;6.772498512083834;6.765307226418589;7.659474714995369;7.548315833022975;7.708782842386599;6.886706426319014;7.160488026782238;7.19940060545452;7.31440701741525;7.47167463561504;7.322505106058042;6.439408545665227;6.500351210929698;6.423472265713688;5.199599508539844;5.199599508539844;5.199599508539844;5.199599508539844;6.287943625568804;6.26423183768084;6.3132338367934615;7.10504475783727;6.031382037035049;5.199599508539844;5.199599508539844;5.199599508539844
AT1G17232:ALlnc_910:CRlnc_691:ESlnc_5747;6.706781753432906;6.8816301696671225;6.789643887249439;7.691197320898398;7.65763307313364;7.635655027623558;6.667042937669843;6.640140940652625;6.6382139613795825;5.266212260355523;6.113642820866895;6.074389116476451;7.1695787364637855;7.192134777139166;7.064141205464456;7.7919592685307135;7.771343293238451;7.74321756682163;6.883322625863494;6.822918115107454;7.105297645240146;5.934691758277758;5.914256558391958;5.914075563075655;7.16421770248297;7.29529941429462;7.292210033311503;7.279751409545256;7.235710752715366;7.197073128592433;6.2883885783439455;6.395960945825056;6.478720186287413;6.335815628393048;6.0095847272453655;6.357987783715105;7.554691930412323;7.436701549872074;7.351893559691299;7.487716494511569;7.5622288120574845;7.595407500173012;6.773711703583075;7.00544960990408;6.6083258757671475;6.5225176118904;6.794501642387186;6.998535484893684;7.8289483339853065;7.882407228633271;7.796124323251353;8.376487504922412;8.410369287598957;8.428809521775548;6.516031354581899;6.941418679086482;6.847157953794846;7.019818301748673;6.900727872469689;6.502985604177929;7.738037531383271;7.657981386818948;7.533416975144868;7.571569298901223;7.610917338127221;7.5698232730278;6.098183378275341;6.348885497561097;6.065370043612816;6.721359817336156;6.5477296380617815;6.211986197498571;7.169883484109572;7.314029843539657;7.173527656142174;7.303392935263277;7.318961371224393;7.273701000406504;6.60281433465387;6.327201299007923;6.457086567614982;7.336452898904053;6.824600453133712;6.877787279071701;7.810702986948272;7.926909278156364;7.927182661153093;8.136925676546982;8.126732205792594;8.110575463850063;6.6764046636012715;6.711112985954475;6.745083577846735;6.6569387342133055;6.433349368743678;6.819442887407199;6.963942562625471;6.2552566548622535;7.216108383874973;7.7851960463714125;7.78382480727278;7.987436197063756;8.405001886474759;8.574866423743538;7.905663136516399;5.199599508539844;7.524788839991074;7.648631262374607
AT1G20691:ALlnc_245:CRlnc_6408:ESlnc_5699;7.737055405515776;7.602437461805039;7.691530258051159;5.266212260355523;5.266212260355523;5.266212260355523;9.253863897984777;9.387792217150313;9.552149914950528;7.2220927191049125;7.163889724381472;7.238116160183046;7.96180074513015;7.862510191674136;7.686417860347795;5.266212260355523;5.266212260355523;5.266212260355523;9.224191438036785;9.310960299573349;9.225798763293056;7.3060575194400545;7.259783025961013;7.296650654526577;8.563253828654316;8.5051249440164;8.392325876989482;5.266212260355523;5.266212260355523;5.266212260355523;8.629652298761362;8.5847784048317;8.588601678380224;6.863993963580614;7.056714800672459;7.0059201361321595;8.20603293973876;8.13823733137133;8.070217642746261;5.266212260355523;5.4919204514019215;5.266212260355523;9.454022385598087;9.40285934267712;9.455047683056028;7.9363437367559495;7.864998339045768;7.966358788249512;8.693043821373436;8.721151634572756;8.615338130813075;5.266212260355523;5.266212260355523;5.266212260355523;9.400035459212994;9.25844859758938;9.191770650392588;8.207077444155422;8.116860057307703;8.158123484684944;8.261261651552546;8.303770898736866;8.17510216864811;5.614744056615772;5.8600982156062065;5.692427059922436;9.318692402185553;9.081420540872951;9.231058743053651;7.116503639497547;7.212403069099078;7.240996417312327;7.3984370463246085;7.1827548344287795;7.365549138130336;6.336123493184417;6.527841852854848;6.987184921197506;8.78604044375224;8.633908124481541;8.848870894232356;6.297726282890375;6.420334104888548;6.532875393522546;8.99528689263821;8.879796560876194;8.88463465580138;5.266212260355523;5.469686403077165;5.266212260355523;9.88350514785849;9.893244068839406;9.803316237992465;8.232642370452274;8.209506659073808;8.141158366112984;6.65533292607742;5.199599508539844;6.063724680348269;6.236753925832195;6.322888464510523;7.015396640896117;8.810879694432359;8.862550398460673;8.75513742142123;5.199599508539844;6.272405443963688;5.199599508539844
AT1G28715:ALlnc_6977:CRlnc_903:ESlnc_5598;8.539570355103736;8.320596020629841;8.426778932069835;7.233727821339492;7.408836866830196;7.388814340480664;6.811499400988146;6.645273751231945;6.681657299884633;8.496392095393706;8.51108318262179;8.430543152866097;8.924575970424094;8.796776203613057;9.145372313169204;6.243986082754547;6.1252413561313785;6.472687068456757;7.104786453007116;7.176902515338227;7.120233252711008;8.435154871395172;8.6151991363783509;8.496094833026111;8.944802683158311;9.036663804188576;8.905492345672315;6.424215405420646;6.641452523385512;6.7293240824504945;6.952161727273405;6.9966434115046265;6.759686811136094;8.482066667735973;8.750045265984578;8.668742711966768;9.461853236333987;9.401428637181684;9.671656414397923;7.116378338048053;7.009486806061586;7.356741896594025;7.316214801708497;7.346281478582351;7.189244112894295;8.49365417532897;8.38589087921739;8.633069469022148;9.610909952397892;9.751640861168354;9.646304240463424;5.849107079931708;6.396878088816006;6.219668505572057;7.472323541621494;7.502442126900337;7.328358666664769;8.737709214922054;8.790102082669776;8.576155739091703;9.215990804898539;9.08626004058968;8.941682595950033;6.53057802074728;6.333203390810315;6.252086997584359;7.028353970638901;7.0687218963427405;7.109172909613033;8.371115682566616;8.411420652098133;8.411128945937895;8.463915827033738;8.73414229965972;8.776327822374205;7.327842058452947;7.312615430502105;7.093869339064035;6.972194864921223;6.971329655601476;6.909074720819077;8.988685814475362;8.727563229815964;8.75507250273842;9.71254842413515;9.817998269807168;9.799298112471574;6.372621754168623;6.274096101974678;6.402307689614476;7.447128437465404;7.46348581628686;7.2660528974250065;8.806905856426386;8.894181031304413;8.7589618088417;7.971446176692847;8.364183778529792;7.048260792114836;5.199599508539844;6.916243599530202;5.199599508539844;6.319576306592525;5.86225977761799;6.737183290672128;9.097267340874122;8.944202281855224;8.86133392382805
AT1G51645:ALlnc_556:CRlnc_452:ESlnc_7176;7.960281454733538;7.947866438703784;7.899051405636027;6.703939431855141;6.857389979031566;6.746184516335251;7.977286736631619;7.547055099018138;7.428539845028611;5.266212260355523;5.541735244186485;5.266212260355523;8.100595889480878;8.1102375179729;7.981702913502944;7.148099151287786;7.139583031907581;7.225231333660165;7.969722837054882;7.863070962288761;7.825577732161381;5.266212260355523;5.266212260355523;5.266212260355523;7.8832891549838555;7.920325425343867;7.863310525684571;6.635928487911834;6.809307230813855;6.8982378828788935;7.088708554831341;6.923298024185219;6.861243995448649;5.266212260355523;5.266212260355523;5.266212260355523;8.328647991904191;8.164973571231007;8.24381477908958;7.156302789382465;7.083879698524543;7.148868139078302;7.773548309463681;7.7254105481183615;7.629033191987713;5.266212260355523;5.653482676445816;5.266212260355523;8.650435424560351;8.525992356031331;8.61545529087481;7.311225408561036;7.351173381489746;7.55041475773472;7.670304163331297;7.620201747459733;7.450048293055446;5.266212260355523;5.266212260355523;5.266212260355523;7.78106708037897;7.773211441841867;7.783203943076436;6.590978275621994;6.656873741417819;6.437699614154435;6.982939535288254;6.850126507274954;7.197406866725991;5.5691870108624455;5.684148253648696;5.6943858593294525;7.305693184764933;7.2525317887858485;7.044925743751962;6.3639582102778975;6.565522254924614;6.7659169357773035;6.551673231912569;7.224595827214606;6.385982378165688;5.936581305303804;6.150357569640653;6.248467481505669;8.358856731477854;8.119089955626968;8.29964205629774;7.200775170403045;7.072044040789278;7.149478664806721;7.206022218189151;7.325444575106431;7.284932537805941;5.532500369434616;5.266212260355523;5.266212260355523;7.140562085683857;6.736349758811155;6.822789475730498;6.733915030837489;7.050694548543643;7.318659972901289;6.606077840411434;6.057297987398768;6.077715851134179;9.842711050764873;9.825201631629735;9.799013379577277
