	Trimmed	Mapped	Deduplicated	Duplicated
Sample_121m	99627091.0	87665575.0	54486501.0	33179074.0
Sample_122m	91741127.0	81128296.0	51587547.0	29540749.0
Sample_123m	93880427.0	82430726.0	52474734.0	29955992.0
Sample_124m	79850747.0	68075401.0	42725081.0	25350320.0
Sample_125m	76290975.0	65305046.0	41832130.0	23472916.0
Sample_126m	83201146.0	71261876.0	44183180.0	27078696.0
Sample_127m	249049645.0	156396183.0	58328762.0	98067421.0
Sample_128m	290102986.0	184275371.0	68241758.0	116033613.0
Sample_129m	226081501.0	145551679.0	55057108.0	90494571.0
Sample_130m	78773510.0	66740096.0	41004751.0	25735345.0
Sample_131m	78097800.0	66972633.0	42352805.0	24619828.0
Sample_132m	86682754.0	74671767.0	46423787.0	28247980.0
Sample_133m	74877668.0	64936966.0	40689919.0	24247047.0
Sample_134m	68573288.0	60046594.0	38359959.0	21686635.0
Sample_135m	73644972.0	64657237.0	39845670.0	24811567.0
Sample_136m	78773979.0	65006299.0	39139391.0	25866908.0
Sample_137m	96184989.0	77892414.0	46663666.0	31228748.0
Sample_138m	80592924.0	65694752.0	39464546.0	26230206.0
Sample_139m	145556214.0	133944313.0	46182974.0	87761339.0
Sample_140m	136111250.0	125937147.0	44156437.0	81780710.0
Sample_141m	138649828.0	127352588.0	45293864.0	82058724.0
Sample_247m	87121517.0	74826669.0	49410313.0	25416356.0
Sample_248m	89524446.0	77244452.0	50102079.0	27142373.0
Sample_249m	88897624.0	76391635.0	50150938.0	26240697.0
Sample_295	77977367.0	66721276.0	36836887.0	29884389.0
Sample_296	72059906.0	62837665.0	34944609.0	27893056.0
Sample_297	72762730.0	63239635.0	34962790.0	28276845.0
Sample_298	82215935.0	71397302.0	37506672.0	33890630.0
Sample_299	69400995.0	61020303.0	31049400.0	29970903.0
Sample_300	78110237.0	68612148.0	37129843.0	31482305.0
Sample_304	72406385.0	64487375.0	31785825.0	32701550.0
Sample_305	92526674.0	81501827.0	40933116.0	40568711.0
Sample_306	75242883.0	66949101.0	35197789.0	31751312.0
Sample_301	103274178.0	92191189.0	42229642.0	49961547.0
Sample_302	71329689.0	63207797.0	31742963.0	31464834.0
Sample_303	81215501.0	72450001.0	35651901.0	36798100.0
