	Trimmed	Mapped	Deduplicated	Duplicated
Sample_226m	82494691.0	73881488.0	40597221.0	33284267.0
Sample_227m	70805705.0	63890661.0	36338997.0	27551664.0
Sample_228m	110171195.0	96039059.0	44221482.0	51817577.0
Sample_229m	71192428.0	65127414.0	35602901.0	29524513.0
Sample_230m	80357046.0	73666363.0	38624143.0	35042220.0
Sample_231m	97970017.0	89293703.0	36997090.0	52296613.0
Sample_232m	220225293.0	106558566.0	30880084.0	75678482.0
Sample_233m	235935736.0	112615744.0	30248620.0	82367124.0
Sample_234m	247342745.0	116280850.0	32367597.0	83913253.0
Sample_235m	76411489.0	66682347.0	39615385.0	27066962.0
Sample_236m	69533231.0	56342439.0	31305561.0	25036878.0
Sample_237m	95915433.0	83234599.0	45368534.0	37866065.0
Sample_238m	75028273.0	66350297.0	41377427.0	24972870.0
Sample_239m	74479619.0	65958778.0	40432196.0	25526582.0
Sample_240m	101581674.0	87979525.0	50225742.0	37753783.0
Sample_241m	106789196.0	71822649.0	32391097.0	39431552.0
Sample_242m	147535086.0	102460086.0	42822118.0	59637968.0
Sample_243m	136853083.0	91886818.0	34345321.0	57541497.0
Sample_244m	366661801.0	197447435.0	12519572.0	184927863.0
Sample_245	186921488.0	178079865.0	16002721.0	162077144.0
Sample_246m	253381508.0	240959095.0	8881223.0	232077872.0
Sample_262m	95120247.0	83914262.0	46132785.0	37781477.0
Sample_263m	144029226.0	127070231.0	54751762.0	72318469.0
Sample_264m	68699425.0	61406277.0	32611420.0	28794857.0
Sample_280m	96634637.0	88468573.0	34528954.0	53939619.0
Sample_281m	158567375.0	145478885.0	48503091.0	96975794.0
Sample_282m	140426811.0	128443167.0	40710711.0	87732456.0
