	Trimmed	Mapped	Deduplicated	Duplicated
Sample_142	79681352.0	67210276.0	41089231.0	26121045.0
Sample_143	75093899.0	63323049.0	38979082.0	24343967.0
Sample_144	82721995.0	70341134.0	42093128.0	28248006.0
Sample_145m	74876266.0	53083683.0	32376003.0	20707680.0
Sample_146	78782565.0	55998281.0	32863240.0	23135041.0
Sample_147	75383670.0	54675110.0	32539846.0	22135264.0
Sample_148m	204715582.0	87949679.0	42217911.0	45731768.0
Sample_149m	197285706.0	84539841.0	39717593.0	44822248.0
Sample_150m	209401063.0	89771911.0	44879523.0	44892388.0
Sample_151	76908601.0	58958259.0	36584957.0	22373302.0
Sample_152	74082757.0	56878292.0	33956005.0	22922287.0
Sample_153	65626246.0	50208155.0	31027822.0	19180333.0
Sample_154	68234952.0	55974829.0	37940178.0	18034651.0
Sample_155	66796912.0	54708878.0	36020347.0	18688531.0
Sample_156	68554047.0	56472187.0	37000461.0	19471726.0
Sample_157	74789127.0	52935183.0	32050112.0	20885071.0
Sample_158	84211991.0	59016747.0	34620743.0	24396004.0
Sample_159	72016657.0	51160989.0	31068807.0	20092182.0
Sample_160	164764078.0	155537094.0	37931965.0	117605129.0
Sample_161	150564352.0	141946775.0	33762329.0	108184446.0
Sample_162	161779929.0	152949373.0	34812323.0	118137050.0
Sample_250	74816169.0	59964084.0	38159874.0	21804210.0
Sample_251	70980751.0	57280494.0	36318394.0	20962100.0
Sample_252	73700015.0	59334955.0	36998801.0	22336154.0
Sample_268	69836407.0	59066135.0	34638906.0	24427229.0
Sample_269	78226647.0	65422798.0	38338218.0	27084580.0
Sample_270	74275923.0	62349174.0	35542134.0	26807040.0
