	Trimmed	Mapped	Deduplicated	Duplicated
Sample_163	74300757.0	66213794.0	39601109.0	26612685.0
Sample_164	71501463.0	64260489.0	37949040.0	26311449.0
Sample_165	85046850.0	76233361.0	42589053.0	33644308.0
Sample_166	68219273.0	48948713.0	31092000.0	17856713.0
Sample_167	74995580.0	54912724.0	32368858.0	22543866.0
Sample_168m	76478797.0	54239962.0	34479822.0	19760140.0
Sample_169m	168783237.0	102734330.0	37930184.0	64804146.0
Sample_170m	183847852.0	113817678.0	39953386.0	73864292.0
Sample_171m	165133515.0	101400885.0	37899309.0	63501576.0
Sample_172	71630133.0	59679885.0	37575547.0	22104338.0
Sample_173	68990045.0	58047515.0	34505233.0	23542282.0
Sample_174	69256497.0	57053823.0	34738908.0	22314915.0
Sample_175	70894834.0	61435502.0	39855332.0	21580170.0
Sample_176	79097928.0	69069559.0	41398465.0	27671094.0
Sample_177	73297734.0	63605531.0	38950041.0	24655490.0
Sample_178m	73036458.0	56439115.0	34515872.0	21923243.0
Sample_179	80369218.0	61724456.0	34410886.0	27313570.0
Sample_180	73669137.0	56784120.0	32551584.0	24232536.0
Sample_181m	190805616.0	134110873.0	44280061.0	89830812.0
Sample_182m	128339680.0	123262020.0	42383122.0	80878898.0
Sample_183m	121270530.0	116290057.0	38843102.0	77446955.0
Sample_253	65293358.0	55969572.0	35847953.0	20121619.0
Sample_254	64772400.0	55515956.0	35519649.0	19996307.0
Sample_255	69351846.0	60402475.0	37704842.0	22697633.0
Sample_271	71899733.0	64412001.0	35386797.0	29025204.0
Sample_272	69844288.0	62525965.0	34740022.0	27785943.0
Sample_273	69035795.0	62863278.0	33657114.0	29206164.0
