	Trimmed	Mapped	Deduplicated	Duplicated
Sample_205m	108444475.0	94581220.0	45114759.0	49466461.0
Sample_206m	94791214.0	83312594.0	41539311.0	41773283.0
Sample_207m	114270447.0	100325021.0	50196347.0	50128674.0
Sample_208m	96498603.0	72780980.0	36073786.0	36707194.0
Sample_209m	113248017.0	85808050.0	40318218.0	45489832.0
Sample_210m	105778858.0	79700581.0	41500548.0	38200033.0
Sample_211m	203265420.0	111490029.0	37253449.0	74236580.0
Sample_212m	212349420.0	117040813.0	38357223.0	78683590.0
Sample_213m	204822550.0	112245933.0	38551463.0	73694470.0
Sample_214m	91577132.0	79464887.0	38584988.0	40879899.0
Sample_215m	89762114.0	77670978.0	34556722.0	43114256.0
Sample_216m	88832223.0	76977153.0	34403109.0	42574044.0
Sample_217m	103064020.0	88032230.0	49714146.0	38318084.0
Sample_218m	97924227.0	83851835.0	46509301.0	37342534.0
Sample_219m	93611693.0	80493291.0	47128764.0	33364527.0
Sample_220m	97792341.0	77227984.0	40345201.0	36882783.0
Sample_221m	104946251.0	83550694.0	41649686.0	41901008.0
Sample_222m	103863114.0	83423751.0	40692215.0	42731536.0
Sample_223m	159312755.0	128983517.0	35738126.0	93245391.0
Sample_224m	138549402.0	110595391.0	36054478.0	74540913.0
Sample_225m	149136532.0	120938940.0	30691672.0	90247268.0
Sample_259m	98238935.0	82954835.0	48262222.0	34692613.0
Sample_260m	105225280.0	88871295.0	50479683.0	38391612.0
Sample_261m	102205487.0	87306810.0	50012099.0	37294711.0
Sample_277m	96764039.0	80606951.0	43396509.0	37210442.0
Sample_278m	96136512.0	80393973.0	46804281.0	33589692.0
Sample_279m	106770425.0	90392414.0	49086608.0	41305806.0
