Sample_ID;DevSeq_ID;Species;Tissue;Detailed_description;Comparative_Sample;Age_dag;Substrate;Photoperiod;Replicates;Sample_size
1;10. Dez;A.thaliana;root;root, root tip (top 0.5-1mm);NA;5d;1/2MS agar;continuous light;3;90
2;13-15;A.thaliana;;root, maturation zone (2-3mm piece above root tip);NA;5d;1/2MS agar;continuous light;3;90
3;106-108;A.thaliana;;root, whole root (3mm piece including root tip);root;5d;1/2MS agar;continuous light;3;45
4;01. M_r;A.thaliana;;root, whole root;NA;7d;soil;continuous light;3;50
5;07. Sep;A.thaliana;;root, whole root;NA;14d;soil;continuous light;3;20
6;04. Juni;A.thaliana;;root, whole root;NA;21d;soil;continuous light;3;30
7;16-18;A.thaliana;hypocotyl;hypocotyl;hypocotyl;10d;soil;continuous light;3;35
8;22-24;A.thaliana;stem;3rd internode (0.5cm piece);NA;24d;soil;continuous light;3;25
9;19-21;A.thaliana;;2nd internode (1cm piece);NA;24d;soil;continuous light;3;25
10;25-27;A.thaliana;;1st internode (1cm piece);NA;28d+;soil;continuous light;3;20
11;28-30;A.thaliana;leaf;cotyledons;NA;7d;soil;continuous light;3;50/25
12;31-33;A.thaliana;;leaves 1+2;leaf;7d;soil;continuous light;3;60/30
13;34-36;A.thaliana;;leaves 1+2;NA;10d;soil;continuous light;3;40/20
14;40-42;A.thaliana;;leaves 1+2 - petiole;NA;10d;soil;continuous light;3;60/30
15;43-45;A.thaliana;;leaves 1+2 - leaf tip;NA;10d;soil;continuous light;3;60/30
16;37-39;A.thaliana;;leaves 5+6;NA;17d;soil;continuous light;3;40/20
17;286-288;A.thaliana;;leaves 9+10;NA;27d;soil;continuous light;3;40/20
18;46-48;A.thaliana;;leaves senescing;NA;35d;soil;continuous light;3;30
19;118-120;A.thaliana;;cauline leaves;NA;24d;soil;continuous light;3;30
20;115-117;A.thaliana;apex;apex, vegetative;apex_veg;7d;soil;continuous light;3;40
21;49-51;A.thaliana;;apex, vegetative;NA;10d;soil;continuous light;3;40
22;52-54;A.thaliana;;apex, vegetative, before bolting;NA;14d;soil;continuous light;3;35
23;55-57;A.thaliana;;apex, inflorescence (dissected up to stage 4/5 flower);apex_infl;21d;soil;continuous light;3;30
24;58-60;A.thaliana;;apex, inflorescence, clv1-8 (dissected as above);NA;21d+;soil;continuous light;3;30
25;61-63;A.thaliana;;apex, inflorescence (dissected as above);NA;28d;soil;continuous light;3;30
26;64-66;A.thaliana;flowers;flower stage 9;NA;21d+;soil;continuous light;3;100/25
27;67-69;A.thaliana;;flower stage 10/11;NA;21d+;soil;continuous light;3;100/25
28;70-72;A.thaliana;;flower stage 12;flower;21d+;soil;continuous light;3;75/25
29;73-75;A.thaliana;;flower stage 15;NA;21d+;soil;continuous light;3;60/30
30;76-78;A.thaliana;floral organs;sepals stage 12;NA;21d+;soil;continuous light;3;140/35
31;88-90;A.thaliana;;sepals stage 15;NA;21d+;soil;continuous light;3;100/25
32;79-81;A.thaliana;;petals stage 12;NA;21d+;soil;continuous light;3;140/35
33;91-93;A.thaliana;;petals stage 15;NA;21d+;soil;continuous light;3;100/25
34;82-84;A.thaliana;;stamens stage 12;stamen;21d+;soil;continuous light;3;200/35
35;94-96;A.thaliana;;stamens stage 15;NA;21d+;soil;continuous light;3;150/25
36;109-111;A.thaliana;;mature pollen;pollen;28d;soil;continuous light;3;pollen from 50 plants
37;283-285;A.thaliana;;carpels stage 12 (mid-stage);carpel;21d+;soil;continuous light;3;80/30
38;85-87;A.thaliana;;carpels stage 12 (late-stage);NA;21d+;soil;continuous light;3;50/25
39;97-99;A.thaliana;;carpels stage 15 (w/ seeds - pre-globular stage embryo);NA;21d+;soil;continuous light;3;45/45
40;100-102;A.thaliana;fruit/seeds;fruit stage 16 - siliques w/ seeds (pre-globular and globular stage embryo);NA;28d+;soil;continuous light;3;30
41;103-105;A.thaliana;;fruit stage 17a - siliques w/ seeds (heart stage and early torpedo-stage embryo);NA;28d+;soil;continuous light;3;30
42;289-291;A.thaliana;;seeds - fruit stage 16 (pre-globular and globular stage embryo);NA;28d+;soil;continuous light;3;seeds from 40 siliques
43;292-294;A.thaliana;;seeds - fruit stage 17a (heart stage and early torpedo-stage embryo);NA;28d+;soil;continuous light;3;seeds from 40 siliques
44;112-114;A.thaliana;;seeds - fruit stage 18 (mature green stage embryo);NA;28d+;soil;continuous light;3;seeds from 30 siliques
45;121-123;A.lyrata;root;root, whole root (3mm piece including root tip);root;6d;1/2MS agar;continuous light;3;70
46;124-126;A.lyrata;hypocotyl;hypocotyl;hypocotyl;12d;soil;continuous light;3;30
47;127-129;A.lyrata;leaf;leaves 1+2;leaf;10d;soil;continuous light;3;60/30
48;130-132;A.lyrata;apex;apex, vegetative;apex_veg;11d;soil;continuous light;3;35
49;133-135;A.lyrata;apex;apex, inflorescence (dissected up to stage 4/5 flower);apex_infl;8w/10w/13d;soil;continuous light;3;35
50;136-138;A.lyrata;flowers;flower stage 12 (mid-stage);flower;8w/10w/15d;soil;continuous light;3;60/20
51;139-141;A.lyrata;floral organs;mature pollen;pollen;8w/10w/25d;soil;continuous light;3;pollen from 30 plants
52;247-249;A.lyrata;floral organs;carpels stage 12 (mid-stage);carpel;8w/10w/17d;soil;continuous light;3;60/20
53;295-297;A.lyrata;floral organs;stamen stage 11;stamen;8w/10w/25d;soil;continuous light;3;150/30
54;298-300;A.lyrata;floral organs;stamen stage 12 (early-stage);stamen;8w/10w/23d;soil;continuous light;3;150/20
55;304-306;A.lyrata;floral organs;stamen stage 12 (mid-stage);stamen;8w/10w/24d;soil;continuous light;3;220/35
56;301-303;A.lyrata;floral organs;stamen stage 12 (late-stage);stamen;8w/10w/21d;soil;continuous light;3;250/25
57;142-144;C.rubella;root;root, whole root (3mm piece including root tip);root;4d;1/2MS agar;continuous light;3;70
58;145-147;C.rubella;hypocotyl;hypocotyl;hypocotyl;9d;soil;continuous light;3;35
59;148-150;C.rubella;leaf;leaves 1+2;leaf;7d;soil;continuous light;3;60/30
60;151-153;C.rubella;apex;apex, vegetative;apex_veg;7d;soil;continuous light;3;35
61;154-156;C.rubella;apex;apex, inflorescence (dissected up to stage 4/5 flower);apex_infl;6w/7w/17d;soil;continuous light;3;30
62;157-159;C.rubella;flowers;flower stage 12 (mid-stage);flower;6w/7w/20d;soil;continuous light;3;75/25
63;160-162;C.rubella;floral organs;mature pollen;pollen;6w/7w/22d;soil;continuous light;3;pollen from 50 plants
64;250-252;C.rubella;floral organs;carpels stage 12 (mid-stage);carpel;6w/7w/21d;soil;continuous light;3;65/25
65;268-270;C.rubella;floral organs;stamen stage 12 (mid-stage);stamen;6w/7w/20d;soil;continuous light;3;220/25
66;163-165;E.salsugineum;root;root, whole root (3mm piece including root tip);root;6d;1/2MS agar;continuous light;3;100
67;166-168;E.salsugineum;hypocotyl;hypocotyl;hypocotyl;12d;soil;continuous light;3;35
68;169-171;E.salsugineum;leaf;leaves 1+2;leaf;9d;soil;continuous light;3;80/40
69;172-174;E.salsugineum;apex;apex, vegetative;apex_veg;9d;soil;continuous light;3;40
70;175-177;E.salsugineum;apex;apex, inflorescence (dissected up to stage 4/5 flower);apex_infl;7w/8w/12d;soil;continuous light;3;30
71;178-180;E.salsugineum;flowers;flower stage 12 (mid-stage);flower;7w/8w/15d;soil;continuous light;3;75/25
72;181-183;E.salsugineum;floral organs;mature pollen;pollen;7w/8w/17d;soil;continuous light;3;pollen from 50 plants
73;253-255;E.salsugineum;floral organs;carpels stage 12 (mid-stage);carpel;7w/8w/18d;soil;continuous light;3;75/25
74;271-273;E.salsugineum;floral organs;stamen stage 12 (mid-stage);stamen;7w/8w/17d;soil;continuous light;3;180/30
75;184-186;T.hassleriana;root;root, whole root (3mm piece including root tip);root;5d;1/2MS filter paper;continuous light;3;30
76;187-189;T.hassleriana;hypocotyl;hypocotyl;hypocotyl;11d;soil;continuous light;3;25
77;190-192;T.hassleriana;leaf;leaves 1+2;leaf;11d;soil;continuous light;3;50/25
78;193-195;T.hassleriana;apex;apex, vegetative;apex_veg;11d;soil;continuous light;3;30
79;196-198;T.hassleriana;apex;apex, inflorescence;apex_infl;11w;soil;continuous light;3;20
80;199-201;T.hassleriana;flowers;flower stage 12 equivalent;flower;11w;soil;continuous light;3;75/25
81;202-204;T.hassleriana;floral organs;mature pollen;pollen;11w;soil;continuous light;3;pollen from 25 plants
82;256-258;T.hassleriana;floral organs;carpels stage 12 equivalent;carpel;11w;soil;continuous light;3;75/25
83;274-276;T.hassleriana;floral organs;stamen stage 12 equivalent;stamen;11w;soil;continuous light;3;150/25
84;205-207;M.truncatula;root;root, whole root (3mm piece including root tip);root;4d;1/2MS agar;continuous light;3;40
85;208-210;M.truncatula;hypocotyl;hypocotyl;hypocotyl;8d;soil;continuous light;3;30
86;211-213;M.truncatula;leaf;leaf 2;leaf;7d;soil;continuous light;3;25
87;214-216;M.truncatula;apex;apex, vegetative;apex_veg;6d;soil;continuous light;3;30
