	Trimmed	Mapped	Deduplicated	Duplicated
Sample_10	86941144.0	81253427.0	50705632.0	30547795.0
Sample_11m	141066413.0	79888356.0	46275174.0	33613182.0
Sample_12	84516521.0	78931787.0	47891737.0	31040050.0
Sample_13	74670919.0	70092417.0	44108954.0	25983463.0
Sample_14m	322773730.0	108897143.0	49172453.0	59724690.0
Sample_15	80501332.0	68220637.0	42169548.0	26051089.0
Sample_106	67736765.0	63259502.0	41498100.0	21761402.0
Sample_107	64153586.0	57283461.0	37459640.0	19823821.0
Sample_108	77887239.0	72817282.0	46529786.0	26287496.0
Sample_1m	132956915.0	121558523.0	78115542.0	43442981.0
Sample_2	71541577.0	65297770.0	39253281.0	26044489.0
Sample_3	59472836.0	54995347.0	36000109.0	18995238.0
Sample_7m	91626971.0	83312213.0	54780088.0	28532125.0
Sample_8	64273047.0	58827250.0	37730114.0	21097136.0
Sample_9	72248866.0	66410813.0	44870743.0	21540070.0
Sample_4m	135530860.0	116418751.0	61654458.0	54764293.0
Sample_5	64285136.0	57436766.0	34616087.0	22820679.0
Sample_6	68644215.0	61906731.0	38369080.0	23537651.0
Sample_16	57938759.0	51188862.0	31471568.0	19717294.0
Sample_17m	71782738.0	61979197.0	38015443.0	23963754.0
Sample_18m	66111792.0	58670185.0	37744627.0	20925558.0
Sample_22m	81225350.0	71830706.0	38322993.0	33507713.0
Sample_23m	92572881.0	80909218.0	45246694.0	35662524.0
Sample_24m	78246478.0	69566899.0	37822347.0	31744552.0
Sample_19	71516505.0	64666405.0	32271891.0	32394514.0
Sample_20	76564875.0	68964900.0	33459363.0	35505537.0
Sample_21m	77154179.0	70336767.0	37626592.0	32710175.0
Sample_25m	127302537.0	118893141.0	36336382.0	82556759.0
Sample_26m	173664862.0	166637550.0	46291027.0	120346523.0
Sample_27m	146068331.0	139753662.0	42945420.0	96808242.0
Sample_28m	160465712.0	151239975.0	41504928.0	109735047.0
Sample_29m	161384133.0	130593015.0	35986493.0	94606522.0
Sample_30m	141482204.0	131779165.0	37873269.0	93905896.0
Sample_31m	154298438.0	141502545.0	51887326.0	89615219.0
Sample_32m	130580839.0	119572749.0	43164211.0	76408538.0
Sample_33m	120229277.0	109781115.0	38677698.0	71103417.0
Sample_34m	129764114.0	119335721.0	42579863.0	76755858.0
Sample_35m	141909950.0	109601822.0	37918491.0	71683331.0
Sample_36m	128712460.0	116851442.0	39506988.0	77344454.0
Sample_40m	176531619.0	162869143.0	62218639.0	100650504.0
Sample_41m	109842079.0	102329915.0	41550090.0	60779825.0
Sample_42m	185245335.0	171756062.0	63948127.0	107807935.0
Sample_43m	119413814.0	110820634.0	35790609.0	75030025.0
Sample_44m	123902645.0	116483863.0	36892941.0	79590922.0
Sample_45m	143135660.0	133135238.0	39834074.0	93301164.0
Sample_37m	124122483.0	113102452.0	34709753.0	78392699.0
Sample_38m	119164736.0	110725681.0	34174466.0	76551215.0
Sample_39m	130334715.0	121599550.0	35395219.0	86204331.0
Sample_286	168612510.0	160737998.0	32526157.0	128211841.0
Sample_287	170515028.0	163488728.0	37369949.0	126118779.0
Sample_288	180574736.0	173568625.0	32642072.0	140926553.0
Sample_46m	180820713.0	169981122.0	50700269.0	119280853.0
Sample_47m	138824782.0	131301776.0	39865939.0	91435837.0
Sample_48m	135339626.0	128574968.0	39978731.0	88596237.0
Sample_118m	183300792.0	164788631.0	47178416.0	117610215.0
Sample_119m	205860865.0	184481505.0	51883198.0	132598307.0
Sample_120m	192839835.0	174387626.0	43201764.0	131185862.0
Sample_115	94090534.0	85579892.0	46571995.0	39007897.0
Sample_116	84140903.0	76897359.0	40999051.0	35898308.0
Sample_117	82438108.0	74859769.0	39582254.0	35277515.0
Sample_49m	63462332.0	56546657.0	34593645.0	21953012.0
Sample_50m	63948765.0	56846187.0	35379690.0	21466497.0
Sample_51m	66591932.0	59141598.0	36038323.0	23103275.0
Sample_52m	103458017.0	92247960.0	59032175.0	33215785.0
