	Trimmed	Mapped	Deduplicated	Duplicated
Sample_184m	80674803.0	69390801.0	43911279.0	25479522.0
Sample_185m	81201330.0	70024697.0	42556969.0	27467728.0
Sample_186m	85150315.0	74907318.0	45268336.0	29638982.0
Sample_187m	89311733.0	60296580.0	37978535.0	22318045.0
Sample_188m	87239693.0	59434337.0	37364593.0	22069744.0
Sample_189m	86882574.0	59630554.0	37079374.0	22551180.0
Sample_190m	199429929.0	96873198.0	45892727.0	50980471.0
Sample_191m	250077036.0	119017337.0	51392510.0	67624827.0
Sample_192m	256255192.0	122834931.0	53445568.0	69389363.0
Sample_193m	94606828.0	77364966.0	42855778.0	34509188.0
Sample_194m	101512954.0	84178382.0	45757567.0	38420815.0
Sample_195m	98422177.0	80761266.0	42684181.0	38077085.0
Sample_196m	93770480.0	78001439.0	48480261.0	29521178.0
Sample_197m	88645274.0	75592056.0	46022793.0	29569263.0
Sample_198m	82351254.0	69962497.0	42513284.0	27449213.0
Sample_199m	82538276.0	65900718.0	39139874.0	26760844.0
Sample_200m	82307858.0	66225520.0	36626304.0	29599216.0
Sample_201m	80060571.0	64828505.0	35702231.0	29126274.0
Sample_202m	127907617.0	119842315.0	43088310.0	76754005.0
Sample_203m	139281017.0	129493050.0	45249676.0	84243374.0
Sample_204m	144346041.0	134591472.0	48391074.0	86200398.0
Sample_256m	96484769.0	77844846.0	46105482.0	31739364.0
Sample_257m	88423652.0	72707184.0	41490783.0	31216401.0
Sample_258m	93027409.0	77036665.0	44689271.0	32347394.0
Sample_274m	104839221.0	90834763.0	50185407.0	40649356.0
Sample_275m	103474047.0	90507743.0	45791321.0	44716422.0
Sample_276m	97444238.0	86321472.0	42136413.0	44185059.0
