"gene_id","biotype","source"
"AT1G01448","lnc_exonic_antisense","araport11"
"AT1G02952","lnc_exonic_antisense","araport11"
"AT1G04295","lnc_exonic_antisense","araport11"
"AT1G04313","lnc_exonic_antisense","araport11"
"AT1G04523","lnc_exonic_antisense","araport11"
"AT1G04753","lnc_exonic_antisense","araport11"
"AT1G04917","lnc_exonic_antisense","araport11"
"AT1G05053","lnc_exonic_antisense","araport11"
"AT1G05163","lnc_exonic_antisense","araport11"
"AT1G05562","lnc_exonic_antisense","araport11"
"AT1G05717","lnc_exonic_antisense","araport11"
"AT1G05753","lnc_exonic_antisense","araport11"
"AT1G05787","lnc_exonic_antisense","araport11"
"AT1G05913","lnc_exonic_antisense","araport11"
"AT1G06002","lnc_exonic_antisense","araport11"
"AT1G06027","lnc_exonic_antisense","araport11"
"AT1G06213","lnc_exonic_antisense","araport11"
"AT1G07128","lnc_exonic_antisense","araport11"
"AT1G07173","lnc_exonic_antisense","araport11"
"AT1G07683","lnc_exonic_antisense","araport11"
"AT1G07728","lnc_exonic_antisense","araport11"
"AT1G08753","lnc_exonic_antisense","araport11"
"AT1G08857","lnc_exonic_antisense","araport11"
"AT1G09007","lnc_exonic_antisense","araport11"
"AT1G09017","lnc_exonic_antisense","araport11"
"AT1G09377","lnc_exonic_antisense","araport11"
"AT1G09437","lnc_exonic_antisense","araport11"
"AT1G09603","lnc_exonic_antisense","araport11"
"AT1G09627","lnc_exonic_antisense","araport11"
"AT1G09773","lnc_exonic_antisense","araport11"
"AT1G13448","lnc_exonic_antisense","araport11"
"AT1G15002","lnc_exonic_antisense","araport11"
"AT1G15175","lnc_exonic_antisense","araport11"
"AT1G16489","lnc_exonic_antisense","araport11"
"AT1G17232","lnc_exonic_antisense","araport11"
"AT1G18382","lnc_exonic_antisense","araport11"
"AT1G18415","lnc_exonic_antisense","araport11"
"AT1G20691","lnc_exonic_antisense","araport11"
"AT1G28715","lnc_exonic_antisense","araport11"
"AT1G29357","lnc_exonic_antisense","araport11"
"AT1G30282","lnc_exonic_antisense","araport11"
"AT1G33415","lnc_exonic_antisense","araport11"
"AT1G44125","lnc_exonic_antisense","araport11"
"AT1G48315","lnc_exonic_antisense","araport11"
"AT1G51645","lnc_exonic_antisense","araport11"
"AT1G56165","lnc_exonic_antisense","araport11"
"AT1G56612","lnc_exonic_antisense","araport11"
"AT1G60525","lnc_exonic_antisense","araport11"
"AT1G67365","lnc_exonic_antisense","araport11"
"AT1G67792","lnc_exonic_antisense","araport11"
"AT1G69572","lnc_exonic_antisense","araport11"
"AT1G69587","lnc_exonic_antisense","araport11"
"AT1G72855","lnc_exonic_antisense","araport11"
"AT1G74545","lnc_exonic_antisense","araport11"
"AT1G75295","lnc_exonic_antisense","araport11"
"AT1G76892","lnc_exonic_antisense","araport11"
"AT1G79529","lnc_exonic_antisense","araport11"
"AT2G04575","lnc_exonic_antisense","araport11"
"AT2G04855","lnc_exonic_antisense","araport11"
