Gene1;Gene2
AT1G48210;AT1G48220
AT1G70450;AT1G70460
AT2G19230;AT2G19210
AT2G28960;AT2G29000
AT2G30740;AT2G30730
AT3G24550;AT3G24540
AT3G46400;AT3G46370
AT5G11400;AT5G11360
AT5G49770;AT5G49760
AT5G59650;AT5G59680
AT5G60080;AT5G60090
AT3G09520;AT3G09530
AT5G52340;AT5G52350
AT5G52760;AT5G52750
AT1G31290;AT1G31280
AT4G23600;AT4G23590
AT2G36480;AT2G36485
AT1G53060;AT1G53070
AT2G29220;AT2G29250
AT2G43690;AT2G43700
AT3G45410;AT3G45420
AT4G02420;AT4G02410
AT5G01560;AT5G01550
AT5G59260;AT5G59270
AT5G60300;AT5G60310
AT1G54840;AT1G54850
AT5G61740;AT5G61700
AT1G28570;AT1G28580
AT1G29670;AT1G29660
AT1G75890;AT1G75880
AT2G04020;AT2G03980
AT2G19050;AT2G19060
AT5G03600;AT5G03590
AT5G46360;AT5G46370
AT3G21080;AT3G21090
AT3G55130;AT3G55110
AT2G16970;AT2G16980
AT1G66610;AT1G66620
AT5G37900;AT5G37910
AT1G75050;AT1G75030
AT3G52810;AT3G52820
AT1G05770;AT1G05760
AT2G37460;AT2G37450
AT4G01450;AT4G01440
AT1G63200;AT1G63190
AT1G74000;AT1G74020
AT3G51450;AT3G51440
AT3G57010;AT3G57020
AT5G50470;AT5G50480
AT5G23020;AT5G23010
AT4G10410;AT4G10420
AT1G48670;AT1G48660
AT5G13350;AT5G13380
AT1G22290;AT1G22300
AT1G46912;AT1G46840
AT1G47340;AT1G47350
AT5G47150;AT5G47160
AT3G45960;AT3G45970
AT2G44230;AT2G44260
AT3G05890;AT3G05880
AT4G14400;AT4G14390
AT5G54620;AT5G54610
AT1G08090;AT1G08100
AT3G21840;AT3G21830
AT2G18880;AT2G18870
AT2G36710;AT2G36700
AT4G02300;AT4G02320
AT5G07430;AT5G07420
AT5G51490;AT5G51500
AT3G13030;AT3G13020
AT5G60530;AT5G60520
AT5G19100;AT5G19110
AT5G18780;AT5G18770
AT1G22430;AT1G22440
AT1G10360;AT1G10370
AT1G17180;AT1G17170
AT1G27140;AT1G27130
AT1G59700;AT1G59670
AT2G29490;AT2G29480
AT3G57770;AT3G57700
AT4G31100;AT4G31110
AT1G61820;AT1G61810
AT2G44460;AT2G44470
AT3G18070;AT3G18080
AT3G62750;AT3G62740
AT4G27830;AT4G27820
AT5G24550;AT5G24540
AT2G03360;AT2G03370
AT3G18180;AT3G18170
AT2G30860;AT2G30870
AT1G60500;AT1G60530
AT1G71170;AT1G71180
AT5G24410;AT5G24420
AT3G14460;AT3G14470
AT1G17000;AT1G16980
AT5G12020;AT5G12030
AT1G20696;AT1G20693
AT1G59950;AT1G59960
AT3G06220;AT3G06160
AT4G11190;AT4G11210
AT1G17240;AT1G17250
AT1G71400;AT1G71390
AT1G74170;AT1G74190
AT3G05660;AT3G05650
AT5G06870;AT5G06860
AT2G46750;AT2G46740
AT2G31770;AT2G31760
AT5G63760;AT5G63750
AT1G76520;AT1G76530
AT5G52680;AT5G52690
AT3G28940;AT3G28930
AT5G39720;AT5G39730
AT2G20550;AT2G20560
AT1G77790;AT1G77780
AT3G57260;AT3G57240
AT4G13090;AT4G13080
AT5G57540;AT5G57530
AT4G11830;AT4G11840
AT3G46000;AT3G45990
AT4G12490;AT4G12500
AT5G24660;AT5G24655
AT1G31710;AT1G31690
AT1G33830;AT1G33870
AT4G09930;AT4G09940
AT4G30030;AT4G30040
AT5G10760;AT5G10770
AT2G04830;AT2G04840
AT5G38160;AT5G38170
AT1G52070;AT1G52060
AT2G39330;AT2G39310
AT3G16440;AT3G16450
AT1G20490;AT1G20500
AT2G22100;AT2G22090
AT2G25370;AT2G25360
AT3G45510;AT3G45480
AT1G66390;AT1G66370
AT5G07700;AT5G07690
AT4G11750;AT4G11770
AT5G03020;AT5G03010
AT1G49210;AT1G49220
AT2G34990;AT2G35000
AT2G42350;AT2G42360
AT4G11360;AT4G11370
AT3G15850;AT3G15870
AT4G12960;AT4G12890
AT2G38870;AT2G38900
AT3G32190;AT3G32150
AT2G37800;AT2G37810
AT3G60270;AT3G60280
AT1G14540;AT1G14550
AT4G08780;AT4G08770
AT5G06720;AT5G06730
AT5G58390;AT5G58400
AT5G64100;AT5G64110
AT2G04440;AT2G04430
AT1G48820;AT1G48800
AT4G20200;AT4G20230
AT1G13140;AT1G13150
AT4G19740;AT4G19720
AT3G13710;AT3G13720
AT1G21860;AT1G21850
AT5G21100;AT5G21105
AT1G31370;AT1G31380
AT3G58330;AT3G58300
AT1G12160;AT1G12130
AT1G66930;AT1G67000
AT5G39020;AT5G39030
