gene_id;transcript_id
AL8G12400;AL8G12400.t1
AL3G44380;AL3G44380.t1
AL3G44370;AL3G44370.t1
AL2G20580;AL2G20580.t1
AL2G20570;AL2G20570.t1
AL2G20590;AL2G20590.t1
AL9U10720;AL9U10720.t1
AL2G20500;AL2G20500.t1
AL2G20520;AL2G20520.t1
AL2G20510;AL2G20510.t1
AL2G20540;AL2G20540.t1
AL2G20530;AL2G20530.t1
AL2G20560;AL2G20560.t1
AL2G20550;AL2G20550.t1
AL3G44400;AL3G44400.t1
AL3G44420;AL3G44420.t1
AL3G44410;AL3G44410.t1
AL3G44440;AL3G44440.t1
AL3G44430;AL3G44430.t1
AL3G44460;AL3G44460.t1
AL3G44470;AL3G44470.t1
AL2G20470;AL2G20470.t1
AL2G20490;AL2G20490.t1
AL3G44520;AL3G44520.t1
AL3G44550;AL3G44550.t1
AL3G44640;AL3G44640.t1
AL3G44630;AL3G44630.t1
AL3G44600;AL3G44600.t1
AL7G44090;AL7G44090.t1
AL2G20940;AL2G20940.t1
AL2G20930;AL2G20930.t1
AL2G20960;AL2G20960.t1
AL7G44080;AL7G44080.t1
AL2G20950;AL2G20950.t1
AL7G44060;AL7G44060.t1
XLOC_024935;NewAL_00086052
AL2G20970;AL2G20970.t1
AL2G20840;AL2G20840.t1
AL2G20700;AL2G20700.t1
AL2G20710;AL2G20710.t1
AL2G20730;AL2G20730.t1
AL2G20760;AL2G20760.t1
AL2G20780;AL2G20780.t1
AL2G20770;AL2G20770.t1
AL2G20790;AL2G20790.t1
AL2G20600;AL2G20600.t1
AL2G20690;AL2G20690.t1
AL2G20620;AL2G20620.t1
AL2G20610;AL2G20610.t1
XLOC_024804;NewAL_00084174
AL2G20630;AL2G20630.t1
AL2G20662;AL2G20662.t1
AL2G20664;AL2G20664.t1
AL2G20666;AL2G20666.t1
AL2G20668;AL2G20668.t1
AL2G20669;AL2G20669.t1
XLOC_036521;NewAL_00115034
XLOC_036523;NewAL_00115112
XLOC_024361;NewAL_00073097
AL9U12010;AL9U12010.t1
AL9U12020;AL9U12020.t1
AL9U12050;AL9U12050.t1
AL9U12040;AL9U12040.t1
XLOC_007667;NewAL_00023080
XLOC_007455;NewAL_00027261
XLOC_034557;NewAL_00112244
XLOC_029610;NewAL_00093607
XLOC_029752;NewAL_00089428
XLOC_032926;NewAL_00108031
AL2G21390;AL2G21390.t1
AL2G21380;AL2G21380.t1
AL2G21420;AL2G21420.t1
AL2G21470;AL2G21470.t1
AL2G21460;AL2G21460.t1
AL2G21480;AL2G21480.t1
AL4G23550;AL4G23550.t1
AL4G23530;AL4G23530.t1
AL2G21312;AL2G21312.t1
AL2G21314;AL2G21314.t1
AL2G21330;AL2G21330.t1
AL2G21370;AL2G21370.t1
AL2G21360;AL2G21360.t1
AL2G21070;AL2G21070.t1
AL2G21080;AL2G21080.t1
AL2G21110;AL2G21110.t1
AL2G21100;AL2G21100.t1
AL7G50300;AL7G50300.t1
AL2G21800;AL2G21800.t1
XLOC_015600;NewAL_00051407
AL2G21840;AL2G21840.t1
AL2G21870;AL2G21870.t1
AL7G50370;AL7G50370.t1
AL2G21880;AL2G21880.t1
AL7G50360;AL7G50360.t1
AL9U11960;AL9U11960.t1
AL9U11956;AL9U11956.t1
AL9U11954;AL9U11954.t1
AL9U11959;AL9U11959.t1
AL9U11958;AL9U11958.t1
AL9U11952;AL9U11952.t1
AL2G21710;AL2G21710.t1
AL2G21700;AL2G21700.t1
AL2G21730;AL2G21730.t1
AL2G21720;AL2G21720.t1
AL2G21750;AL2G21750.t1
AL2G21740;AL2G21740.t1
AL2G21770;AL2G21770.t1
AL2G21760;AL2G21760.t1
AL2G21670;AL2G21670.t1
AL2G21660;AL2G21660.t1
AL2G21690;AL2G21690.t1
AL2G21610;AL2G21610.t1
AL2G21630;AL2G21630.t1
AL2G21620;AL2G21620.t1
AL2G21650;AL2G21650.t1
AL2G21640;AL2G21640.t1
XLOC_027550;NewAL_00087313
AL1G45030;AL1G45030.t1
AL1G45010;AL1G45010.t1
AL1G45070;AL1G45070.t1
AL1G45060;AL1G45060.t1
AL1G45050;AL1G45050.t1
AL2G21550;AL2G21550.t1
AL2G21540;AL2G21540.t1
AL2G21560;AL2G21560.t1
AL2G21510;AL2G21510.t1
AL2G21500;AL2G21500.t1
AL2G21530;AL2G21530.t1
AL2G21520;AL2G21520.t1
XLOC_021167;NewAL_00070615
XLOC_011457;NewAL_00032903
AL3G43780;AL3G43780.t1
AL1G67310;AL1G67310.t1
AL1G67320;AL1G67320.t1
AL6G41410;AL6G41410.t1
AL1G51260;AL1G51260.t1
AL1G51250;AL1G51250.t1
AL1G51280;AL1G51280.t1
AL6G41420;AL6G41420.t1
XLOC_021750;NewAL_00066869
XLOC_008495;NewAL_00023372
AL5G20340;AL5G20340.t1
AL2G25570;AL2G25570.t1
AL2G25560;AL2G25560.t1
XLOC_016295;NewAL_00047661
AL5G20280;AL5G20280.t1
AL5G20250;AL5G20250.t1
AL5G20240;AL5G20240.t1
AL5G20220;AL5G20220.t1
XLOC_028077;NewAL_00093181
AL2G21000;AL2G21000.t1
AL5G19940;AL5G19940.t1
AL3G48830;AL3G48830.t1
XLOC_006831;NewAL_00023943
AL2G23280;AL2G23280.t1
