query_id;subject_id;dN;dS;dNdS;perc_identity;num_ident_matches;alig_length;mismatches;gap_openings;n_gaps;pos_match;ppos;q_start;q_end;q_len;qcov;qcovhsp;s_start;s_end;s_len;evalue;bit_score;score_raw
AT1G01020.1;XM_010544512.2;0.2395;0.9072;0.264;66.964;150;224;71;1;3;178;79.46;3;223;246;90;90;2;225;235;5.68e-105;304;778
AT1G01030.1;XM_010558349.1;0.1416;1.162;0.1219;60.87;238;391;79;15;74;267;68.29;1;359;359;100;100;1;349;349;1.38e-133;385;989
AT1G01040.1;XM_010558334.1;0.08732;0.744;0.1174;81.576;1594;1954;281;21;79;1719;87.97;3;1897;1910;99;99;1;1934;1947;0;3207;8314
AT1G01050.1;XM_010544510.2;0.03153;0.7757;0.04065;93.488;201;215;12;1;2;208;96.74;1;213;213;100;100;1;215;215;2.07e-150;416;1070
AT1G01060.1;XM_010558338.2;0.2038;0.867;0.235;57.067;428;750;196;25;126;498;66.4;1;646;646;100;100;1;728;728;0;645;1665
AT1G01060.5;XM_010558345.1;0.2392;0.8518;0.2808;52.4;393;750;220;27;137;465;62;1;644;644;100;100;1;719;719;0;535;1377
AT1G01070.1;XM_010524581.2;0.2238;1.304;0.1716;65.217;240;368;118;5;10;293;79.62;7;366;366;98;98;2;367;367;9.21e-171;481;1237
AT1G01080.1;XM_010558327.1;0.1589;0.8563;0.1855;70.508;208;295;75;5;12;239;81.02;1;294;294;100;100;1;284;284;4.03e-137;389;999
AT1G01090.1;XM_010524585.2;0.06729;0.831;0.08097;85.88;371;432;55;2;6;400;92.59;1;429;429;100;100;1;429;429;0;754;1947
AT1G01110.1;XM_010558319.2;0.1534;1.385;0.1107;68.848;263;382;82;11;37;296;77.49;1;365;365;100;100;1;362;362;1.85e-165;467;1201
AT1G01120.1;XM_010524594.1;0.08512;0.9585;0.08881;84.981;447;526;79;0;0;483;91.83;1;526;529;99;99;1;526;527;0;948;2450
