query_id;subject_id;dN;dS;dNdS;perc_identity;num_ident_matches;alig_length;mismatches;gap_openings;n_gaps;pos_match;ppos;q_start;q_end;q_len;qcov;qcovhsp;s_start;s_end;s_len;evalue;bit_score;score_raw
ENST00000000233;ENSMUST00000020717;0.00378;0.2526;0.01496;100;181;181;0;0;0;181;100;1;181;181;100;100;1;181;181;6.98e-135;375;962
ENST00000000412;ENSMUST00000007602;0.04415;0.4675;0.09444;91.756;256;279;22;1;1;267;95.7;1;278;278;100;100;1;279;279;0;522;1345
ENST00000000442;ENSMUST00000025906;0.008347;0.3338;0.025;98.113;416;424;7;1;1;417;98.35;1;424;424;100;100;1;423;423;0;826;2133
ENST00000001008;ENSMUST00000032508;0.05656;0.4332;0.1306;89.783;413;460;46;1;1;439;95.43;1;460;460;100;100;1;459;459;0;857;2214
ENST00000001146;ENSMUST00000077705;0.02101;0.4683;0.04486;96.296;494;513;19;0;0;505;98.44;1;513;513;100;100;1;513;513;0;998;2579
ENST00000002125;ENSMUST00000024887;0.08834;0.4762;0.1855;84.884;365;430;64;1;1;393;91.4;14;442;442;97;97;8;437;437;0;757;1955
ENST00000002165;ENSMUST00000060212;0.1034;0.7079;0.1461;82.43;380;461;81;0;0;410;88.94;8;468;468;99;99;2;462;462;0;780;2014
ENST00000002501;ENSMUST00000176155;0.1115;0.5818;0.1916;80.124;129;161;30;1;2;137;85.09;1;159;159;100;100;35;195;195;1.16e-84;247;631
ENST00000002596;ENSMUST00000053116;0.06448;0.6004;0.1074;87.291;261;299;34;1;4;274;91.64;14;308;308;96;96;14;312;312;0;540;1390
ENST00000003084;ENSMUST00000045706;0.1272;0.5567;0.2285;78.475;1163;1482;313;4;6;1316;88.8;1;1481;1481;100;100;1;1477;1477;0;2340;6065
ENST00000003100;ENSMUST00000001507;0.04364;0.4441;0.09828;91.27;460;504;44;0;0;487;96.63;7;510;510;99;99;1;504;504;0;975;2521
ENST00000003302;ENSMUST00000047349;0.04681;0.5015;0.09334;87.177;945;1084;101;4;38;992;91.51;1;1078;1078;100;100;1;1052;1052;0;1930;4999
ENST00000004103;ENSMUST00000101426;0.3562;0.775;0.4596;54.959;133;242;102;4;7;171;70.66;1;236;236;100;100;5;245;245;2.86e-72;221;562
ENST00000004531;ENSMUST00000057784;0.06384;0.6757;0.09448;88.28;580;657;76;1;1;624;94.98;41;697;699;94;94;1;656;658;0;1145;2961
ENST00000004982;ENSMUST00000044048;0.05752;0.7127;0.08071;88.344;144;163;17;1;2;150;92.02;1;161;161;100;100;1;163;163;3.68e-98;280;717
ENST00000005178;ENSMUST00000019721;0.0391;0.6132;0.06376;93.382;381;408;27;0;0;396;97.06;1;408;412;99;99;1;408;413;0;792;2046
ENST00000005180;ENSMUST00000094226;0.4144;0.5444;0.7611;50;47;94;47;0;0;60;63.83;2;95;95;99;99;1;94;94;1.87e-28;99;245
ENST00000005226;ENSMUST00000009667;0.04233;0.4252;0.09956;92.857;832;896;64;0;0;856;95.54;1;896;900;99;99;1;896;911;0;1556;4028
ENST00000005257;ENSMUST00000009003;0.001883;0.3533;0.00533;99.517;206;207;1;0;0;207;100;1;207;207;100;100;1;207;207;1.53e-152;421;1083
ENST00000005259;ENSMUST00000020979;0.1122;0.5779;0.1942;82.231;199;242;42;1;1;221;91.32;1;242;242;100;100;1;241;241;5.04e-132;372;956
ENST00000005260;ENSMUST00000055190;0.05409;0.7043;0.0768;87.621;453;517;57;4;7;485;93.81;1;512;512;100;100;1;515;515;0;937;2422
ENST00000005284;ENSMUST00000084615;0.006475;0.4371;0.01481;98.734;312;316;4;0;0;315;99.68;1;316;316;100;100;1;316;316;0;649;1674
ENST00000005286;ENSMUST00000025645;0.07015;0.507;0.1384;86.595;885;1022;133;4;4;933;91.29;5;1025;1025;99;99;1;1019;1019;0;1718;4449
ENST00000005340;ENSMUST00000019362;0.01603;0.5599;0.02863;96.608;712;737;25;0;0;716;97.15;1;737;737;100;100;1;737;737;0;1432;3708
ENST00000005386;ENSMUST00000023104;0.116;0.6738;0.1721;78.144;522;668;137;5;9;580;86.83;1;666;666;100;100;1;661;661;0;1051;2717
ENST00000005558;ENSMUST00000001672;0.025;0.3475;0.07193;92.257;417;452;33;1;2;430;95.13;1;452;452;100;100;1;450;450;0;850;2195
ENST00000005756;ENSMUST00000059102;0.06332;0.5048;0.1254;82.985;278;335;39;1;18;300;89.55;1;317;318;99;99;1;335;339;0;575;1481
ENST00000005995;ENSMUST00000024928;0.2324;0.877;0.2651;64.024;210;328;102;2;16;248;75.61;1;315;315;100;100;1;325;325;3.55e-153;432;1112
ENST00000006015;ENSMUST00000048026;0.009431;0.1561;0.06042;97.143;306;315;6;2;3;308;97.78;1;314;314;100;100;2;314;314;0;625;1611
ENST00000006053;ENSMUST00000034230;0.2358;0.7103;0.332;65.012;262;403;129;5;12;290;71.96;1;398;398;100;100;1;396;396;1.15e-157;450;1157
ENST00000006750;ENSMUST00000167143;0.2159;0.6117;0.353;68.398;158;231;70;3;3;185;80.09;1;230;230;100;100;1;229;229;3.55e-92;271;692
ENST00000006777;ENSMUST00000043707;0.06285;0.4957;0.1268;87.397;319;365;43;1;3;343;93.97;1;365;365;100;100;1;362;362;0;648;1672
ENST00000007264;ENSMUST00000047273;0.09604;0.7748;0.124;81.789;256;313;51;1;6;278;88.82;1;313;313;100;100;1;307;307;0;520;1340
ENST00000007390;ENSMUST00000063574;0.127;0.5446;0.2332;73.394;240;327;70;3;17;265;81.04;1;313;313;100;100;1;324;324;5.08e-165;462;1189
ENST00000007414;ENSMUST00000090020;0.03626;0.4921;0.0737;92.289;778;843;60;1;5;803;95.26;1;843;843;100;100;127;964;964;0;1579;4089
ENST00000007516;ENSMUST00000033157;0.07291;0.4398;0.1658;85.987;135;157;22;0;0;140;89.17;1;157;157;100;100;1;157;157;2.29e-93;268;684
ENST00000007699;ENSMUST00000018698;0.04345;0.2787;0.1559;89.968;278;309;25;1;6;282;91.26;57;365;365;85;85;58;360;360;3.96e-145;416;1068
ENST00000007722;ENSMUST00000120375;0.06811;0.4273;0.1594;87.371;934;1069;133;2;2;997;93.26;1;1067;1067;100;100;1;1069;1069;0;1879;4868
ENST00000007969;ENSMUST00000032218;0.1281;0.5486;0.2336;81.132;258;318;60;0;0;291;91.51;21;338;344;92;92;18;335;341;0;515;1327
ENST00000008391;ENSMUST00000037294;0.002404;0.2851;0.008434;99.558;451;453;2;0;0;452;99.78;1;453;453;100;100;1;453;453;0;931;2405
ENST00000008527;ENSMUST00000020227;0.02142;0.4908;0.04365;93.41;567;607;20;2;20;576;94.89;1;587;587;100;100;1;607;607;0;1172;3032
ENST00000008938;ENSMUST00000032573;0.1815;0.7943;0.2285;71.687;119;166;47;0;0;138;83.13;30;195;197;84;84;17;182;183;3.88e-90;262;670
ENST00000009041;ENSMUST00000200323;0.05277;0.4916;0.1073;90.129;210;233;20;1;3;217;93.13;1;230;235;98;98;1;233;264;1.92e-154;430;1105
ENST00000009105;ENSMUST00000016323;0.04268;0.481;0.08873;92.05;440;478;37;1;1;454;94.98;1;477;477;100;100;1;478;478;0;918;2373
ENST00000009180;ENSMUST00000032492;0.06009;0.5536;0.1085;89.083;204;229;23;1;2;219;95.63;1;229;229;100;100;1;227;227;2.49e-151;420;1080
ENST00000009530;ENSMUST00000097563;0.1291;0.4489;0.2876;76.596;216;282;63;3;3;252;89.36;17;297;297;95;95;1;280;280;1.56e-161;451;1160
ENST00000009589;ENSMUST00000138502;0;0.6332;0;100;120;120;0;0;0;120;100;1;120;120;100;100;1;120;120;6.53e-84;241;614
