gene_id;transcript_id
XLOC_012160;NewMT_00042151
Medtr4g009210;Medtr4g009210.1
Medtr1079s0020;Medtr1079s0020.1
Medtr2126s0020;Medtr2126s0020.1
Medtr7g055840;Medtr7g055840.1
Medtr7g100030;Medtr7g100030.1
Medtr4g117480;Medtr4g117480.1
Medtr3g450170;Medtr3g450170.1
Medtr7g021800;Medtr7g021800.1
Medtr7g021750;Medtr7g021750.1
Medtr8g038470;Medtr8g038470.1
Medtr7g021710;Medtr7g021710.1
Medtr7g021720;Medtr7g021720.1
Medtr7g021790;Medtr7g021790.1
Medtr7g021760;Medtr7g021760.1
Medtr8g038480;Medtr8g038480.1
Medtr7g021770;Medtr7g021770.1
Medtr4g073360;Medtr4g073360.1
Medtr7g021700;Medtr7g021700.1
Medtr0495s0020;Medtr0495s0020.1
Medtr0002s0300;Medtr0002s0300.1
Medtr0002s0310;Medtr0002s0310.1
Medtr7g075220;Medtr7g075220.1
Medtr0002s0350;Medtr0002s0350.1
Medtr2g080240;Medtr2g080240.1
Medtr5g013430;Medtr5g013430.1
Medtr0002s0100;Medtr0002s0100.1
Medtr0002s0140;Medtr0002s0140.1
Medtr0002s0150;Medtr0002s0150.1
Medtr0002s0170;Medtr0002s0170.1
Medtr0002s0200;Medtr0002s0200.1
Medtr0002s0210;Medtr0002s0210.1
Medtr4g034810;Medtr4g034810.1
Medtr4g034790;Medtr4g034790.1
Medtr4g034770;Medtr4g034770.1
Medtr4g034750;Medtr4g034750.1
Medtr4g034720;Medtr4g034720.1
Medtr4g019000;Medtr4g019000.1
Medtr4g034690;Medtr4g034690.1
Medtr7g055910;Medtr7g055910.1
Medtr7g026095;Medtr7g026095.1
Medtr7g100410;Medtr7g100410.1
Medtr0141s0020;Medtr0141s0020.1
Medtr1g052140;Medtr1g052140.1
Medtr2g089600;Medtr2g089600.1
Medtr2g089590;Medtr2g089590.1
Medtr2g089570;Medtr2g089570.1
Medtr0055s0010;Medtr0055s0010.1
Medtr0082s0040;Medtr0082s0040.1
Medtr0082s0030;Medtr0082s0030.1
Medtr0082s0090;Medtr0082s0090.1
Medtr3g047940;Medtr3g047940.1
Medtr3g008370;Medtr3g008370.1
Medtr3g047900;Medtr3g047900.1
Medtr0625s0020;Medtr0625s0020.1
XLOC_046931;NewMT_00142113
Medtr0082s0100;Medtr0082s0100.1
Medtr0082s0160;Medtr0082s0160.1
Medtr0082s0280;Medtr0082s0280.1
Medtr0082s0260;Medtr0082s0260.1
Medtr3g062770;Medtr3g062770.1
Medtr3g062790;Medtr3g062790.1
Medtr1g102200;Medtr1g102200.1
Medtr7g007070;Medtr7g007070.1
Medtr8g106255;Medtr8g106255.1
Medtr4g077730;Medtr4g077730.1
Medtr3g448640;Medtr3g448640.1
Medtr3g111320;Medtr3g111320.1
Medtr6g033745;Medtr6g033745.1
Medtr7g085940;Medtr7g085940.1
Medtr3g111240;Medtr3g111240.1
XLOC_050212;NewMT_00160583
Medtr0165s0060;Medtr0165s0060.1
Medtr4g050950;Medtr4g050950.1
Medtr4g050960;Medtr4g050960.1
Medtr4g050880;Medtr4g050880.1
Medtr5g080950;Medtr5g080950.1
Medtr4g050860;Medtr4g050860.1
Medtr4g050840;Medtr4g050840.1
Medtr4g050810;Medtr4g050810.1
Medtr4g035040;Medtr4g035040.1
Medtr3g101450;Medtr3g101450.1
Medtr1g038460;Medtr1g038460.1
Medtr7g117930;Medtr7g117930.1
Medtr7g117940;Medtr7g117940.1
Medtr5g090760;Medtr5g090760.1
Medtr4g006180;Medtr4g006180.1
Medtr2g019700;Medtr2g019700.1
Medtr4g006140;Medtr4g006140.1
Medtr4g079120;Medtr4g079120.1
Medtr4g031190;Medtr4g031190.1
Medtr2g019680;Medtr2g019680.1
Medtr4g006100;Medtr4g006100.1
Medtr4g006110;Medtr4g006110.1
Medtr4g006120;Medtr4g006120.1
Medtr4g006130;Medtr4g006130.1
Medtr3g101000;Medtr3g101000.1
Medtr4g006080;Medtr4g006080.1
Medtr4g006090;Medtr4g006090.1
Medtr2g451380;Medtr2g451380.1
Medtr7g098060;Medtr7g098060.1
Medtr7g015680;Medtr7g015680.1
Medtr4g059910;Medtr4g059910.1
Medtr5g061280;Medtr5g061280.1
Medtr2g103540;Medtr2g103540.1
Medtr6g078470;Medtr6g078470.1
Medtr2g039330;Medtr2g039330.1
Medtr8g056780;Medtr8g056780.1
Medtr8g071910;Medtr8g071910.1
Medtr2g025030;Medtr2g025030.1
Medtr8g022450;Medtr8g022450.1
Medtr3g110480;Medtr3g110480.1
Medtr5g055290;Medtr5g055290.1
Medtr5g094930;Medtr5g094930.1
Medtr4g451265;Medtr4g451265.1
Medtr4g451275;Medtr4g451275.1
Medtr4g451555;Medtr4g451555.1
Medtr2g098600;Medtr2g098600.1
Medtr5g039110;Medtr5g039110.1
Medtr5g040110;Medtr5g040110.1
Medtr2g096500;Medtr2g096500.1
Medtr7g067760;Medtr7g067760.1
Medtr6g011030;Medtr6g011030.1
Medtr2g008350;Medtr2g008350.1
Medtr7g116690;Medtr7g116690.1
Medtr5g015855;Medtr5g015855.1
Medtr8g041720;Medtr8g041720.1
Medtr6g088515;Medtr6g088515.1
Medtr8g016510;Medtr8g016510.1
Medtr8g016520;Medtr8g016520.1
Medtr4g022700;Medtr4g022700.1
Medtr8g079770;Medtr8g079770.1
Medtr4g095420;Medtr4g095420.1
Medtr0689s0010;Medtr0689s0010.1
Medtr3g035733;Medtr3g035733.1
Medtr3g035730;Medtr3g035730.1
Medtr3g035740;Medtr3g035740.1
Medtr3g035720;Medtr3g035720.1
Medtr3g035685;Medtr3g035685.1
Medtr3g035670;Medtr3g035670.1
Medtr3g035610;Medtr3g035610.1
Medtr3g035600;Medtr3g035600.1
Medtr1g045590;Medtr1g045590.1
Medtr8g006040;Medtr8g006040.1
Medtr0212s0080;Medtr0212s0080.1
Medtr5g010700;Medtr5g010700.1
Medtr3g035490;Medtr3g035490.1
Medtr1g070860;Medtr1g070860.1
Medtr0212s0020;Medtr0212s0020.1
Medtr0212s0050;Medtr0212s0050.1
Medtr0212s0040;Medtr0212s0040.1
Medtr4g069820;Medtr4g069820.1
Medtr5g010690;Medtr5g010690.1
Medtr0024s0110;Medtr0024s0110.1
Medtr3g108390;Medtr3g108390.1
Medtr8g045210;Medtr8g045210.1
Medtr8g059750;Medtr8g059750.1
Medtr8g059730;Medtr8g059730.1
Medtr5g020210;Medtr5g020210.1
Medtr4g051420;Medtr4g051420.1
