gene_id;transcript_id
XLOC_024117;NewTH_00082966
XLOC_024124;NewTH_00082973
XLOC_014478;NewTH_00049795
XLOC_026419;NewTH_00090906
XLOC_014209;NewTH_00050188
XLOC_014208;NewTH_00050187
XLOC_024670;NewTH_00085771
XLOC_007530;NewTH_00025848
XLOC_005100;NewTH_00017310
XLOC_029088;NewTH_00099901
XLOC_005002;NewTH_00017156
XLOC_022778;NewTH_00078443
XLOC_019101;NewTH_00065669
XLOC_010882;NewTH_00036162
XLOC_007024;NewTH_00023722
XLOC_020000;NewTH_00069504
XLOC_029803;NewTH_00102215
XLOC_015152;NewTH_00052493
XLOC_027151;NewTH_00092917
XLOC_015374;NewTH_00052602
104801738;XM_019201102.1
109117195;XM_019204008.1
104825588;XM_019203969.1
XLOC_027067;NewTH_00092693
XLOC_029512;NewTH_00101376
109117180;XM_019203967.1
104815241;XM_010543560.1
XLOC_011641;NewTH_00037801
104807900;XM_010533341.1
XLOC_021128;NewTH_00072279
XLOC_023718;NewTH_00081746
104820711;XM_010551272.2
XLOC_025830;NewTH_00088932
XLOC_035355;NewTH_00120760
XLOC_035077;NewTH_00119936
XLOC_035109;NewTH_00120034
XLOC_031290;NewTH_00107252
104799642;XM_010522274.1
109116882;XM_019203112.1
XLOC_031129;NewTH_00107012
XLOC_033715;NewTH_00115042
109116528;XM_019202122.1
109116510;XM_019202083.1
XLOC_033491;NewTH_00114473
109116555;XM_019202203.1
109116546;XM_019202184.1
109116374;XM_019201620.1
109116370;XM_019201606.1
XLOC_021200;NewTH_00073743
104824625;XM_010556727.1
109116485;XM_019201982.1
109116118;XM_019200948.1
109116107;XM_019200922.1
109116101;XM_019200911.1
109116170;XM_019201107.1
109116071;XM_019200843.1
109116068;XM_019200838.1
XLOC_016376;NewTH_00056329
109116032;XM_019200749.1
XLOC_018736;NewTH_00065298
104800012;XM_010522713.2
XLOC_031495;NewTH_00107743
XLOC_031528;NewTH_00107804
