gene_id;transcript_id
XLOC_024237;NewCR_00071516
XLOC_026667;NewCR_00078864
XLOC_026266;NewCR_00070571
Carubv10001685m.g;Carubv10001685m
Carubv10011746m.g;Carubv10011746m
XLOC_009104;NewCR_00032886
Carubv10012766m.g;Carubv10012766m
Carubv10024524m.g;Carubv10024524m
Carubv10003237m.g;Carubv10003237m
Carubv10003734m.g;Carubv10003734m
XLOC_019988;NewCR_00056514
Carubv10015385m.g;Carubv10015385m
Carubv10018818m.g;Carubv10018818m
Carubv10003666m.g;Carubv10003666m
XLOC_008043;NewCR_00023778
Carubv10018069m.g;Carubv10018069m
XLOC_023267;NewCR_00076426
XLOC_011316;NewCR_00027137
XLOC_013950;NewCR_00043577
XLOC_016658;NewCR_00046701
XLOC_004209;NewCR_00004000
XLOC_006452;NewCR_00016114
