query_id;subject_id;dN;dS;dNdS;perc_identity;num_ident_matches;alig_length;mismatches;gap_openings;n_gaps;pos_match;ppos;q_start;q_end;q_len;qcov;qcovhsp;s_start;s_end;s_len;evalue;bit_score;score_raw
AT1G01020.1;Medtr7g089460.1;0.3777;1.926;0.196;51.25;123;240;107;3;10;158;65.83;6;239;246;95;95;3;238;252;1.23e-66;207;527
AT1G01040.2;Medtr7g118350.1;0.1451;1.671;0.08683;74.227;1417;1909;423;20;69;1612;84.44;16;1910;1911;99;99;26;1879;1881;0;2852;7393
AT1G01050.1;Medtr8g024050.1;0.08582;1.318;0.06513;88.263;188;213;25;0;0;198;92.96;1;213;213;100;100;46;258;258;1.08e-141;396;1018
AT1G01060.4;Medtr7g118330.1;0.3395;1.605;0.2115;43.813;216;493;205;17;72;280;56.8;211;645;645;93;67;277;755;755;2.99e-68;237;605
AT1G01080.1;Medtr7g118230.1;0.4939;NA;NA;44.67;88;197;69;4;40;121;61.42;95;289;294;66;66;30;188;346;3.57e-41;146;368
AT1G01090.1;Medtr8g024310.1;0.1261;1.752;0.07198;82;328;400;60;5;12;351;87.75;31;429;429;93;93;40;428;428;0;668;1724
AT1G01110.2;Medtr8g024540.1;0.2639;NA;NA;55.345;321;580;180;21;79;381;65.69;1;528;528;100;100;1;553;553;1.88e-180;519;1337
AT1G01120.1;Medtr7g118170.1;0.1779;2.074;0.08577;73.04;382;523;134;5;7;438;83.75;5;522;529;98;98;4;524;535;0;791;2044
AT1G01140.3;Medtr8g024590.1;0.1426;2.39;0.05967;74.6;326;437;103;3;8;374;85.58;7;443;452;97;97;5;433;436;0;682;1759
AT1G01170.1;Medtr7g091770.1;0.2135;1.76;0.1213;68.421;52;76;24;0;0;60;78.95;8;83;84;90;90;4;79;81;2.31e-34;113;282
AT1G01180.1;Medtr8g024680.1;0.2522;1.82;0.1386;65.278;188;288;92;4;8;225;78.12;21;301;308;91;91;22;308;315;5.81e-131;375;964
AT1G01200.1;Medtr8g027220.1;0.2046;NA;NA;73.191;172;235;59;3;4;195;82.98;5;238;238;98;98;2;233;233;2e-118;337;865
AT1G01220.1;Medtr7g117870.1;0.1849;1.522;0.1215;70.743;752;1063;286;6;25;888;83.54;3;1056;1056;99;99;4;1050;1050;0;1538;3981
AT1G01225.1;Medtr7g117750.1;0.2003;1.7;0.1178;72.549;185;255;69;1;1;218;85.49;1;254;261;97;97;1;255;260;3.69e-136;384;987
AT1G01230.1;Medtr8g027285.1;0.08782;1.292;0.06799;84.81;134;158;24;0;0;147;93.04;1;158;158;100;100;1;158;158;5.66e-100;285;728
AT1G01250.1;Medtr7g117690.1;0.2728;3.355;0.08131;65.806;102;155;47;3;6;116;74.84;40;193;193;80;80;23;172;172;4.82e-59;183;464
AT1G01260.1;Medtr8g027495.1;0.3426;2.661;0.1287;48.148;312;648;234;18;102;402;62.04;4;582;591;98;98;9;623;624;6.57e-175;510;1313
AT1G01280.1;Medtr7g087520.1;0.1318;3.592;0.0367;77.309;385;498;97;5;16;437;87.75;25;511;511;95;95;30;522;522;0;801;2069
AT1G01290.1;Medtr5g015740.1;0.2667;2.402;0.1111;59.839;149;249;67;6;33;170;68.27;22;268;271;91;91;18;235;239;6.11e-86;257;656
AT1G01300.1;Medtr7g117430.1;0.1971;1.507;0.1308;75.221;340;452;101;4;11;380;84.07;36;486;486;93;93;45;486;486;0;650;1676
AT1G01320.1;Medtr8g027685.1;0.2484;1.36;0.1827;59.683;1128;1890;593;41;169;1362;72.06;1;1796;1798;99;99;1;1815;1828;0;2036;5276
AT1G01350.1;Medtr7g109250.2;0.1965;2.273;0.08644;69.688;223;320;94;2;3;266;83.12;20;336;344;92;92;8;327;328;6.02e-161;453;1166
AT1G01360.1;Medtr8g027805.1;0.141;1.434;0.09834;78.689;144;183;36;2;3;162;88.52;1;183;188;97;97;1;180;191;5.96e-105;300;767
AT1G01370.1;Medtr8g027840.1;0.3932;NA;NA;64.356;65;101;35;1;1;80;79.21;75;175;179;56;56;28;127;131;3.67e-40;133;334
AT1G01430.1;Medtr8g027900.1;0.3307;2.758;0.1199;63.115;231;366;126;6;9;290;79.23;87;449;457;79;79;198;557;559;9.51e-171;492;1266
AT1G01470.1;Medtr7g079180.1;0.2789;1.986;0.1405;63.576;96;151;55;0;0;122;80.79;1;151;152;99;99;1;151;153;2.19e-71;212;539
AT1G01490.1;Medtr7g079110.1;0.1263;1.377;0.09167;59.669;108;181;62;3;11;138;76.24;1;178;178;100;100;1;173;173;3.95e-46;149;377
AT1G01500.1;Medtr8g028630.1;0.2969;2.172;0.1367;55.519;171;308;123;6;14;223;72.4;22;325;328;93;93;4;301;351;4.33e-111;327;838
AT1G01510.1;Medtr7g078990.1;0.1763;1.491;0.1183;70.523;445;631;166;9;20;523;82.88;10;636;637;98;98;1;615;618;0;850;2197
AT1G01540.1;NewID_00167970;0.1417;1.504;0.0942;71.046;292;411;72;10;47;324;78.83;1;369;387;95;95;1;406;407;0;540;1391
AT1G01580.1;Medtr8g028780.1;0.3108;NA;NA;59.661;423;709;268;9;18;545;76.87;24;726;726;97;97;6;702;702;0;824;2129
AT1G01600.1;Medtr8g030590.1;0.1727;1.879;0.09191;74.539;404;542;130;4;8;467;86.16;1;537;555;97;97;1;539;541;0;847;2189
AT1G01630.1;Medtr3g098530.1;0.2448;1.469;0.1666;65.517;152;232;80;0;0;189;81.47;25;256;256;91;91;42;273;273;2.18e-116;335;858
