query_id;subject_id;dN;dS;dNdS;perc_identity;num_ident_matches;alig_length;mismatches;gap_openings;n_gaps;pos_match;ppos;q_start;q_end;q_len;qcov;qcovhsp;s_start;s_end;s_len;evalue;bit_score;score_raw
ENST00000000233;ENSPPAT00000052330;0;0;NA;100;181;181;0;0;0;181;100;1;181;181;100;100;1;181;181;5.67e-135;375;962
ENST00000000412;ENSPPAT00000050477;0;0.007093;0;100;278;278;0;0;0;278;100;1;278;278;100;100;1;278;278;0;577;1486
ENST00000000442;ENSPPAT00000050260;0;0.01741;0;99.764;423;424;0;1;1;423;99.76;1;424;424;100;100;1;423;423;0;838;2164
ENST00000001008;ENSPPAT00000009035;0.003059;0.007058;0.4334;98.696;454;460;3;1;3;456;99.13;1;460;460;100;100;1;457;457;0;929;2400
ENST00000001146;ENSPPAT00000039250;0.002077;0.01369;0.1517;96.101;493;513;3;1;17;495;96.49;1;513;513;100;100;1;496;496;0;1003;2592
ENST00000002125;ENSPPAT00000031513;0.002272;0.004559;0.4983;99.548;440;442;2;0;0;441;99.77;1;442;442;100;100;1;442;442;0;911;2355
ENST00000002165;ENSPPAT00000051537;0.001064;0.0134;0.07942;99.359;465;468;1;1;2;465;99.36;1;468;468;100;100;1;466;466;0;953;2464
ENST00000002501;ENSPPAT00000036477;0.05399;0.0381;1.417;96.689;146;151;5;0;0;146;96.69;9;159;159;95;95;10;160;160;3.41e-100;285;729
ENST00000002596;ENSPPAT00000008683;0.001649;0.01628;0.1013;99.675;307;308;1;0;0;307;99.68;1;308;308;100;100;1;308;308;0;635;1638
ENST00000002829;ENSPPAT00000060459;0.01272;0.02812;0.4522;96.32;759;788;18;3;11;763;96.83;1;786;786;100;100;1;779;779;0;1564;4049
ENST00000003084;ENSPPAT00000058290;0.001006;0.006916;0.1455;99.797;1478;1481;3;0;0;1480;99.93;1;1481;1481;100;100;1;1481;1481;0;3039;7879
ENST00000003100;ENSPPAT00000059237;0.004336;0.007958;0.5449;99.02;505;510;5;0;0;507;99.41;1;510;510;100;100;1;510;510;0;1050;2714
ENST00000003302;ENSPPAT00000061819;0.009103;0.02543;0.3579;99.343;1059;1066;7;0;0;1060;99.44;13;1078;1078;99;99;11;1076;1076;0;2205;5714
ENST00000003583;ENSPPAT00000014712;0.003469;0.01803;0.1924;99.306;286;288;2;0;0;286;99.31;1;288;288;100;100;1;288;288;0;580;1494
ENST00000004103;ENSPPAT00000015963;0.0156;0.02453;0.6356;98.198;218;222;4;0;0;219;98.65;1;222;236;94;94;1;222;226;1.1e-161;446;1148
ENST00000004531;ENSPPAT00000018003;0.004772;0.01842;0.259;98.938;652;659;7;0;0;656;99.54;41;699;699;94;94;1;659;659;0;1326;3433
ENST00000004982;ENSPPAT00000055968;0;0.01688;0;87.578;141;161;0;1;20;141;87.58;1;161;161;100;100;1;141;141;3.9e-91;261;668
ENST00000005082;ENSPPAT00000031725;0.005191;0.01901;0.2731;95.079;599;630;7;2;24;599;95.08;1;607;607;100;100;1;629;629;0;1218;3151
ENST00000005178;ENSPPAT00000030539;0.0009693;0.01258;0.07707;99.757;411;412;1;0;0;412;100;1;412;412;100;100;1;412;412;0;857;2213
ENST00000005180;ENSPPAT00000063070;0.01501;0;NA;96.842;92;95;3;0;0;93;97.89;1;95;95;100;100;1;95;95;1.68e-63;187;475
ENST00000005226;ENSPPAT00000033634;0.004483;0.01803;0.2486;99;891;900;9;0;0;893;99.22;1;900;900;100;100;1;900;900;0;1816;4704
ENST00000005257;ENSPPAT00000004331;0;0.009857;0;100;207;207;0;0;0;207;100;1;207;207;100;100;1;207;207;3.05e-153;423;1087
ENST00000005259;ENSPPAT00000063697;0;0.02342;0;100;242;242;0;0;0;242;100;1;242;242;100;100;1;242;242;2.51e-179;492;1266
ENST00000005260;ENSPPAT00000051044;0.00106;0.03141;0.03374;94.545;468;495;1;1;26;468;94.55;18;512;512;97;97;1;469;469;0;956;2470
ENST00000005284;ENSPPAT00000051703;0;0.003307;0;100;316;316;0;0;0;316;100;1;316;316;100;100;1;316;316;0;655;1690
ENST00000005340;ENSPPAT00000038911;0;0.01115;0;100;737;737;0;0;0;737;100;1;737;737;100;100;1;737;737;0;1488;3851
ENST00000005374;ENSPPAT00000039976;0;0;NA;100;115;115;0;0;0;115;100;1;115;115;100;100;1;115;115;3.86e-84;241;614
ENST00000005386;ENSPPAT00000043313;0.003848;0.007583;0.5074;99.099;660;666;6;0;0;662;99.4;1;666;666;100;100;1;666;666;0;1350;3495
ENST00000005558;ENSPPAT00000063585;0.001546;0.01135;0.1362;99.558;450;452;2;0;0;451;99.78;1;452;452;100;100;2;453;453;0;932;2410
ENST00000005995;ENSPPAT00000002978;0.009373;0.03472;0.27;96.215;305;317;6;2;6;307;96.85;1;315;315;100;100;1;313;313;0;622;1605
ENST00000006015;ENSPPAT00000053139;0.03453;0.03381;1.021;99.331;297;299;2;0;0;298;99.67;1;299;314;95;95;1;299;328;0;617;1590
ENST00000006275;ENSPPAT00000028651;0.002973;0.01585;0.1876;99.425;173;174;1;0;0;173;99.43;1;174;174;100;100;1;174;174;1.83e-126;352;904
ENST00000006658;ENSPPAT00000039817;0.002978;0.01132;0.2632;97.385;782;803;5;1;16;785;97.76;1;803;803;100;100;1;787;787;0;1613;4178
ENST00000006750;ENSPPAT00000059333;0.003486;0.02285;0.1526;99.13;228;230;2;0;0;229;99.57;1;230;230;100;100;1;230;230;5.54e-174;477;1228
ENST00000006777;ENSPPAT00000050008;0;0.008146;0;100;365;365;0;0;0;365;100;1;365;365;100;100;1;365;365;0;733;1892
ENST00000007264;ENSPPAT00000046059;0.004313;0.02494;0.173;99.042;310;313;3;0;0;312;99.68;1;313;313;100;100;1;313;313;0;636;1641
ENST00000007390;ENSPPAT00000041225;0.09789;0.1834;0.5337;87.063;249;286;30;2;7;252;88.11;28;313;313;91;91;12;290;290;2.63e-174;484;1246
ENST00000007414;ENSPPAT00000032021;0.001674;0.01658;0.101;99.644;840;843;3;0;0;842;99.88;1;843;843;100;100;1;843;843;0;1742;4511
ENST00000007510;ENSPPAT00000035616;0;0.01073;0;100;749;749;0;0;0;749;100;1;749;749;100;100;1;749;749;0;1506;3898
ENST00000007516;ENSPPAT00000007340;0;0.01271;0;100;157;157;0;0;0;157;100;1;157;157;100;100;1;157;157;1.89e-112;316;809
ENST00000007699;ENSPPAT00000061260;0.00332;0.01184;0.2804;99.338;300;302;2;0;0;300;99.34;64;365;365;83;83;1;302;302;0;585;1508
ENST00000007722;ENSPPAT00000044076;0.00305;0.0177;0.1723;99.344;1060;1067;7;0;0;1064;99.72;1;1067;1067;100;100;1;1067;1067;0;2201;5702
ENST00000007735;ENSPPAT00000050198;0.006151;0.01644;0.3743;98.765;400;405;5;0;0;402;99.26;1;405;405;100;100;1;405;405;0;805;2078
ENST00000007969;ENSPPAT00000053398;0.002659;0.008311;0.32;99.419;342;344;2;0;0;343;99.71;1;344;344;100;100;1;344;344;0;683;1763
ENST00000008391;ENSPPAT00000053622;0;0.004274;0;100;453;453;0;0;0;453;100;1;453;453;100;100;1;453;453;0;933;2412
ENST00000008440;ENSPPAT00000050236;0;0.00491;0;100;208;208;0;0;0;208;100;1;208;208;100;100;1;208;208;2.9e-158;436;1120
ENST00000008527;ENSPPAT00000014816;0.0008457;0.008781;0.09631;99.83;586;587;1;0;0;587;100;1;587;587;100;100;1;587;587;0;1220;3156
ENST00000008938;ENSPPAT00000055156;0.01704;0.0215;0.7928;96.954;191;197;6;0;0;192;97.46;1;197;197;100;100;1;197;197;4.52e-142;394;1012
ENST00000009041;ENSPPAT00000055546;0;0.01317;0;100;235;235;0;0;0;235;100;1;235;235;100;100;1;235;235;1.92e-174;479;1232
ENST00000009105;ENSPPAT00000062638;0;0.01743;0;100;477;477;0;0;0;477;100;1;477;477;100;100;1;477;477;0;993;2566
ENST00000009180;ENSPPAT00000035681;0;0.01438;0;100;229;229;0;0;0;229;100;1;229;229;100;100;1;229;229;1.43e-169;466;1199
ENST00000009530;ENSPPAT00000051742;0.001354;0.02037;0.06648;99.663;296;297;1;0;0;297;100;1;297;297;100;100;1;297;297;0;616;1589
ENST00000009589;ENSPPAT00000006730;0;0;NA;100;120;120;0;0;0;120;100;1;120;120;100;100;1;120;120;5.31e-84;241;614
ENST00000010299;ENSPPAT00000043216;0.003194;0.003213;0.9941;99.365;313;315;2;0;0;313;99.37;28;342;342;92;92;1;315;315;0;643;1659
ENST00000010404;ENSPPAT00000045391;0;0.006556;0;100;156;156;0;0;0;156;100;1;156;156;100;100;1;156;156;2e-113;318;815
ENST00000011292;ENSPPAT00000053217;0.002372;0.02498;0.09498;99.524;418;420;2;0;0;419;99.76;1;420;420;100;100;1;420;420;0;866;2238
ENST00000011473;ENSPPAT00000044798;0;0.01341;0;100;242;242;0;0;0;242;100;19;260;260;93;93;1;242;242;4.82e-180;494;1273
ENST00000011619;ENSPPAT00000037003;0;0.01031;0;100;598;598;0;0;0;598;100;133;730;730;82;82;1;598;598;0;1263;3268
ENST00000011653;ENSPPAT00000045888;0.00333;0.01506;0.2211;99.346;456;459;3;0;0;456;99.35;1;459;459;100;100;1;459;459;0;924;2389
ENST00000011684;ENSPPAT00000037501;0.004028;0.01435;0.2806;99.115;784;791;7;0;0;787;99.49;1;791;791;100;100;1;791;791;0;1576;4082
ENST00000011691;ENSPPAT00000033194;0;0.03001;0;100;78;78;0;0;0;78;100;1;78;78;100;100;1;78;78;9.59e-55;164;414
ENST00000011898;ENSPPAT00000045213;0.001667;0.01332;0.1251;99.583;239;240;1;0;0;240;100;1;240;240;100;100;92;331;331;1.83e-178;493;1269
ENST00000011989;ENSPPAT00000028774;0.022;0.04419;0.498;95.411;499;523;19;2;5;504;96.37;1;521;521;100;100;1;520;520;0;1011;2613
ENST00000012134;ENSPPAT00000065224;0.001309;0.007406;0.1767;99.714;2440;2447;7;0;0;2444;99.88;1;2447;2447;100;100;1;2447;2447;0;4995;12957
ENST00000012443;ENSPPAT00000054175;0.0009941;0.02526;0.03936;99.8;499;500;1;0;0;500;100;1;500;500;100;100;1;500;500;0;1048;2711
ENST00000013034;ENSPPAT00000045717;0.002768;0.01716;0.1613;99.438;177;178;1;0;0;178;100;1;178;178;100;100;1;178;178;7.52e-132;367;941
ENST00000013070;ENSPPAT00000043945;0;0.01552;0;100;426;426;0;0;0;426;100;1;426;426;100;100;1;426;426;0;880;2274
ENST00000013125;ENSPPAT00000028071;0.000591;0.00601;0.09834;99.882;846;847;1;0;0;847;100;1;847;847;100;100;1;847;847;0;1770;4585
ENST00000013222;ENSPPAT00000057215;0.005837;0.01117;0.5227;98.864;261;264;3;0;0;261;98.86;1;264;264;100;100;1;264;264;0;537;1384
ENST00000014914;ENSPPAT00000038260;0.003937;0.005723;0.6879;99.162;355;358;3;0;0;356;99.44;1;358;358;100;100;1;358;358;0;731;1888
ENST00000014930;ENSPPAT00000057279;0;0.01107;0;100;190;190;0;0;0;190;100;1;190;190;100;100;1;190;190;3.34e-141;391;1004
ENST00000014935;ENSPPAT00000014110;0.001715;0.03446;0.04977;99.67;302;303;1;0;0;303;100;1;303;303;100;100;1;303;303;0;620;1598
ENST00000016171;ENSPPAT00000002430;0;0.01743;0;100;411;411;0;0;0;411;100;1;411;411;100;100;1;411;411;0;834;2155
ENST00000016913;ENSPPAT00000063263;0.01602;0.0114;1.406;97.015;260;268;8;0;0;262;97.76;1;268;268;100;100;1;268;268;0;523;1346
ENST00000019019;ENSPPAT00000033338;0;0.008982;0;99.394;328;330;0;1;2;328;99.39;1;328;328;100;100;1;330;330;0;667;1722
ENST00000019103;ENSPPAT00000012258;0.01811;0.05467;0.3312;99.281;414;417;3;0;0;416;99.76;25;441;441;95;95;16;432;432;0;858;2217
ENST00000019317;ENSPPAT00000034755;0.001516;0.01154;0.1314;99.695;654;656;2;0;0;655;99.85;1;656;656;100;100;1;656;656;0;1326;3432
ENST00000020673;ENSPPAT00000057964;0.02038;0.0312;0.6531;96.019;989;1030;24;4;17;991;96.21;1;1025;1025;100;100;1;1018;1018;0;1942;5030
ENST00000020926;ENSPPAT00000030758;0.002164;0.02229;0.09709;99.532;425;427;2;0;0;427;100;1;427;427;100;100;1;427;427;0;873;2256
ENST00000020945;ENSPPAT00000017162;0;0.007782;0;100;269;269;0;0;0;269;100;1;269;269;100;100;1;269;269;0;554;1427
