gene_id;transcript_id
Bradi2g41285;Bradi2g41285.1
XLOC_038852;NewBD_00168567
Bradi3g28076;Bradi3g28076.1
Bradi3g04143;Bradi3g04143.1
Bradi1g04625;Bradi1g04625.1
Bradi4g16212;Bradi4g16212.1
XLOC_024083;NewBD_00105106
Bradi3g31425;Bradi3g31425.1
Bradi5g06782;Bradi5g06782.1
Bradi1g04232;Bradi1g04232.1
XLOC_002158;NewBD_00002113
Bradi1g67965;Bradi1g67965.1
Bradi4g06517;Bradi4g06517.1
Bradi5g06964;Bradi5g06964.1
Bradi3g04766;Bradi3g04766.2
Bradi1g55452;Bradi1g55452.2
XLOC_036704;NewBD_00158253
XLOC_009243;NewBD_00037537
Bradi1g45465;Bradi1g45465.1
XLOC_036372;NewBD_00141412
Bradi4g16595;NewBD_00136210
Bradi1g06095;Bradi1g06095.1
XLOC_038914;NewBD_00172918
Bradi2g31611;Bradi2g31611.1
Bradi1g70724;Bradi1g70724.1
Bradi1g48836;Bradi1g48836.2
XLOC_032508;NewBD_00156692
XLOC_019706;NewBD_00076332
Bradi1g22375;Bradi1g22375.2
Bradi2g21003;Bradi2g21003.1
Bradi4g23358;Bradi4g23358.1
Bradi4g23356;Bradi4g23356.1
Bradi2g23535;Bradi2g23535.1
Bradi4g23940;Bradi4g23940.1
Bradi2g13100;Bradi2g13100.3
Bradi2g13101;Bradi2g13101.1
Bradi2g13102;Bradi2g13102.2
Bradi2g13108;Bradi2g13108.1
XLOC_005993;NewBD_00005949
Bradi2g13083;Bradi2g13083.1
Bradi2g13084;Bradi2g13084.1
Bradi2g13079;Bradi2g13079.1
Bradi2g13075;Bradi2g13075.1
Bradi2g13077;Bradi2g13077.1
Bradi2g13091;Bradi2g13091.1
Bradi2g13089;Bradi2g13089.1
Bradi2g13085;Bradi2g13085.1
Bradi2g25073;Bradi2g25073.1
Bradi5g09696;Bradi5g09696.2
Bradi5g09704;Bradi5g09704.1
Bradi5g09702;Bradi5g09702.2
Bradi2g40855;Bradi2g40855.1
Bradi2g13635;Bradi2g13635.1
XLOC_042375;NewBD_00166560
XLOC_042376;NewBD_00166561
Bradi1g75386;Bradi1g75386.2
Bradi1g65955;Bradi1g65955.1
Bradi1g65952;Bradi1g65952.1
Bradi1g26403;Bradi1g26403.1
XLOC_032754;NewBD_00146148
Bradi3g10288;Bradi3g10288.1
Bradi1g39199;Bradi1g39199.1
Bradi1g39192;Bradi1g39192.1
Bradi1g05715;Bradi1g05715.1
Bradi1g05731;Bradi1g05731.1
Bradi1g05735;Bradi1g05735.1
Bradi1g05738;Bradi1g05738.1
Bradi1g05739;Bradi1g05739.1
Bradi1g05721;Bradi1g05721.1
Bradi4g20955;Bradi4g20955.1
Bradi1g05750;Bradi1g05750.1
Bradi1g05753;Bradi1g05753.1
Bradi1g05755;Bradi1g05755.1
Bradi1g05756;Bradi1g05756.1
Bradi1g05757;Bradi1g05757.1
Bradi1g05758;Bradi1g05758.2
Bradi1g05740;Bradi1g05740.1
Bradi1g05741;Bradi1g05741.1
Bradi1g05742;Bradi1g05742.1
Bradi1g05743;Bradi1g05743.2
Bradi1g05746;Bradi1g05746.1
Bradi1g05748;Bradi1g05748.1
Bradi1g05749;Bradi1g05749.1
Bradi1g05772;Bradi1g05772.1
Bradi1g05774;Bradi1g05774.1
Bradi1g05775;Bradi1g05775.1
Bradi1g05778;Bradi1g05778.1
Bradi1g05781;Bradi1g05781.1
Bradi1g05760;Bradi1g05760.1
Bradi1g05761;Bradi1g05761.1
Bradi1g05762;Bradi1g05762.1
Bradi1g05763;Bradi1g05763.1
Bradi1g05764;Bradi1g05764.1
Bradi1g05768;Bradi1g05768.1
Bradi1g05769;Bradi1g05769.1
Bradi1g05794;Bradi1g05794.1
Bradi1g05783;Bradi1g05783.1
Bradi1g05790;Bradi1g05790.2
Bradi1g39223;Bradi1g39223.1
