gene_id;transcript_id
ATMG01020;ATMG01020.1
ATMG01030;ATMG01030.1
ATMG01010;ATMG01010.1
ATMG01000;ATMG01000.1
ATMG01060;ATMG01060.1
ATMG01050;ATMG01050.1
ATMG01040;ATMG01040.1
ATMG01090;ATMG01090.1
ATMG01080;ATMG01080.1
ATMG01100;ATMG01100.1
ATMG01150;ATMG01150.1
ATMG01130;ATMG01130.1
ATMG01140;ATMG01140.1
ATMG01120;ATMG01120.1
ATMG01110;ATMG01110.1
ATMG01190;ATMG01190.1
ATMG01180;ATMG01180.1
ATMG01170;ATMG01170.1
ATMG01220;ATMG01220.1
ATMG01210;ATMG01210.1
ATMG01200;ATMG01200.1
ATMG01270;ATMG01270.1
ATMG01260;ATMG01260.1
ATMG01240;ATMG01240.1
ATMG01250;ATMG01250.1
ATMG01230;ATMG01230.1
ATMG01290;ATMG01290.1
ATMG01275;ATMG01275.1
ATMG01280;ATMG01280.1
ATMG01300;ATMG01300.1
ATMG01330;ATMG01330.1
ATMG01310;ATMG01310.1
ATMG01370;ATMG01370.1
ATMG01350;ATMG01350.1
ATMG01360;ATMG01360.1
ATMG01410;ATMG01410.1
ATMG01400;ATMG01400.1
ATCG00340;ATCG00340.1
ATCG00330;ATCG00330.1
ATCG00380;ATCG00380.1
ATCG00360;ATCG00360.1
ATCG00350;ATCG00350.1
ATCG00300;ATCG00300.1
ATCG00280;ATCG00280.1
ATCG00270;ATCG00270.1
ATCG00220;ATCG00220.1
ATCG00210;ATCG00210.1
ATCG00180;ATCG00180.1
ATCG00170;ATCG00170.1
ATCG00160;ATCG00160.1
ATCG00150;ATCG00150.1
ATCG00190;ATCG00190.1
ATCG00140;ATCG00140.1
ATCG00130;ATCG00130.1
ATCG00120;ATCG00120.1
ATCG00065;ATCG00065.1
ATCG00050;ATCG00050.1
ATCG00040;ATCG00040.1
ATCG00080;ATCG00080.1
ATCG00070;ATCG00070.1
ATCG00020;ATCG00020.1
ATCG00790;ATCG00790.1
ATCG00740;ATCG00740.1
ATCG00730;ATCG00730.1
ATCG00720;ATCG00720.1
ATCG00700;ATCG00700.1
ATCG00710;ATCG00710.1
ATCG00780;ATCG00780.1
ATCG00770;ATCG00770.1
ATCG00760;ATCG00760.1
ATCG00750;ATCG00750.1
ATCG00690;ATCG00690.1
ATCG00680;ATCG00680.1
ATCG00670;ATCG00670.1
ATCG00600;ATCG00600.1
ATCG00660;ATCG00660.1
ATCG00650;ATCG00650.1
ATCG00640;ATCG00640.1
ATCG00630;ATCG00630.1
ATCG00580;ATCG00580.1
ATCG00570;ATCG00570.1
ATCG00560;ATCG00560.1
ATCG00550;ATCG00550.1
ATCG00590;ATCG00590.1
ATCG00500;ATCG00500.1
ATCG00540;ATCG00540.1
ATCG00530;ATCG00530.1
ATCG00520;ATCG00520.1
ATCG00510;ATCG00510.1
ATCG00440;ATCG00440.1
ATCG00430;ATCG00430.1
ATCG00490;ATCG00490.1
ATCG00480;ATCG00480.1
ATCG00470;ATCG00470.1
ATCG00420;ATCG00420.1
ATCG00905;ATCG00905.1
ATCG00900;ATCG00900.1
ATCG00860;ATCG00860.1
ATCG00840;ATCG00840.1
ATCG00830;ATCG00830.1
ATCG00890;ATCG00890.1
ATCG00870;ATCG00870.1
ATCG00810;ATCG00810.1
ATCG00820;ATCG00820.1
ATCG00800;ATCG00800.1
ATMG00810;ATMG00810.1
ATMG00850;ATMG00850.1
ATMG00840;ATMG00840.1
ATMG00830;ATMG00830.1
ATMG00820;ATMG00820.1
ATMG00890;ATMG00890.1
ATMG00880;ATMG00880.1
ATMG00870;ATMG00870.1
ATMG00860;ATMG00860.1
ATMG00920;ATMG00920.1
ATMG00910;ATMG00910.1
ATMG00900;ATMG00900.1
ATMG00970;ATMG00970.1
ATMG00960;ATMG00960.1
ATMG00940;ATMG00940.1
ATMG00990;ATMG00990.1
ATMG00980;ATMG00980.1
ATCG01270;ATCG01270.1
ATCG01250;ATCG01250.1
ATCG01240;ATCG01240.1
ATCG01280;ATCG01280.1
ATCG01230;ATCG01230.1
ATMG00010;ATMG00010.1
ATMG00050;ATMG00050.1
ATMG00030;ATMG00030.1
ATMG00040;ATMG00040.1
ATMG00090;ATMG00090.1
ATCG01130;ATCG01130.1
ATMG00080;ATMG00080.1
ATCG01120;ATCG01120.1
ATMG00070;ATMG00070.1
ATCG01110;ATCG01110.1
ATCG01100;ATCG01100.1
ATMG00130;ATMG00130.1
ATMG00120;ATMG00120.1
ATMG00110;ATMG00110.1
ATCG01090;ATCG01090.1
ATCG01080;ATCG01080.1
ATMG00180;ATMG00180.1
ATMG00170;ATMG00170.1
ATMG00160;ATMG00160.1
ATMG00140;ATMG00140.1
ATMG00150;ATMG00150.1
ATCG01020;ATCG01020.1
ATCG01010;ATCG01010.1
ATCG01000;ATCG01000.1
ATCG01070;ATCG01070.1
ATCG01060;ATCG01060.1
ATCG01050;ATCG01050.1
ATCG01040;ATCG01040.1
ATMG00210;ATMG00210.1
ATMG00200;ATMG00200.1
ATMG00260;ATMG00260.1
ATMG00240;ATMG00240.1
ATMG00220;ATMG00220.1
ATMG00285;ATMG00285.1
ATMG00290;ATMG00290.1
ATMG00280;ATMG00280.1
ATMG00270;ATMG00270.1
ATMG00320;ATMG00320.1
ATMG00310;ATMG00310.1
ATMG00300;ATMG00300.1
ATMG00370;ATMG00370.1
ATMG00410;ATMG00410.1
ATMG00400;ATMG00400.1
ATMG00450;ATMG00450.1
ATMG00440;ATMG00440.1
ATMG00430;ATMG00430.1
ATMG00490;ATMG00490.1
ATMG00470;ATMG00470.1
ATMG00480;ATMG00480.1
ATMG00530;ATMG00530.1
ATMG00520;ATMG00520.1
ATMG00510;ATMG00510.1
ATMG00516;ATMG00516.1
ATMG00513;ATMG00513.1
ATMG00500;ATMG00500.1
ATMG00570;ATMG00570.1
ATMG00560;ATMG00560.1
ATMG00550;ATMG00550.1
ATMG00540;ATMG00540.1
ATMG00580;ATMG00580.1
ATMG00590;ATMG00590.1
ATMG00610;ATMG00610.1
ATMG00600;ATMG00600.1
ATMG00650;ATMG00650.1
ATMG00640;ATMG00640.1
ATMG00630;ATMG00630.1
ATMG00620;ATMG00620.1
ATMG00690;ATMG00690.1
ATMG00680;ATMG00680.1
ATMG00670;ATMG00670.1
ATMG00660;ATMG00660.1
ATMG00665;ATMG00665.1
