gene_id;transcript_id
Thhalv10023100m.g;Thhalv10023100m
Thhalv10011069m.g;Thhalv10011069m
Thhalv10011045m.g;Thhalv10011045m
Thhalv10023053m.g;Thhalv10023053m
Thhalv10011033m.g;Thhalv10011033m
Thhalv10023004m.g;Thhalv10023004m
Thhalv10022991m.g;Thhalv10022991m
Thhalv10002987m.g;Thhalv10002987m
Thhalv10001821m.g;Thhalv10001821m
XLOC_028726;NewES_00082427
Thhalv10023031m.g;Thhalv10023031m
Thhalv10029192m.g;Thhalv10029192m
Thhalv10010993m.g;Thhalv10010993m
Thhalv10002931m.g;Thhalv10002931m
XLOC_012989;NewES_00038520
Thhalv10001270m.g;Thhalv10001270m
Thhalv10015926m.g;Thhalv10015926m
Thhalv10001808m.g;Thhalv10001808m
Thhalv10029138m.g;Thhalv10029138m
Thhalv10028045m.g;Thhalv10028045m
Thhalv10010706m.g;Thhalv10010706m
Thhalv10023738m.g;Thhalv10023738m
Thhalv10018971m.g;Thhalv10018971m
Thhalv10011089m.g;Thhalv10011089m
XLOC_010016;NewES_00028749
XLOC_012492;NewES_00034706
XLOC_030013;NewES_00088952
XLOC_020691;NewES_00060387
Thhalv10028891m.g;Thhalv10028891m
Thhalv10010976m.g;Thhalv10010976m
XLOC_020456;NewES_00060193
Thhalv10029241m.g;Thhalv10029241m
Thhalv10011098m.g;Thhalv10011098m
Thhalv10023097m.g;Thhalv10023097m
XLOC_010829;NewES_00033452
Thhalv10027086m.g;Thhalv10027086m
Thhalv10015628m.g;Thhalv10015628m
XLOC_010625;NewES_00030941
XLOC_017864;NewES_00052384
XLOC_030981;NewES_00091202
Thhalv10012215m.g;Thhalv10012215m
Thhalv10013769m.g;Thhalv10013769m
Thhalv10023156m.g;Thhalv10023156m
Thhalv10010325m.g;Thhalv10010325m
Thhalv10001274m.g;Thhalv10001274m
Thhalv10002997m.g;Thhalv10002997m
Thhalv10012154m.g;Thhalv10012154m
Thhalv10011843m.g;Thhalv10011843m
Thhalv10023328m.g;Thhalv10023328m
Thhalv10010825m.g;Thhalv10010825m
Thhalv10028093m.g;Thhalv10028093m
Thhalv10023135m.g;Thhalv10023135m
Thhalv10011105m.g;Thhalv10011105m
Thhalv10003089m.g;Thhalv10003089m
Thhalv10029166m.g;Thhalv10029166m
Thhalv10003100m.g;Thhalv10003100m
Thhalv10011056m.g;Thhalv10011056m
Thhalv10027382m.g;Thhalv10027382m
Thhalv10001832m.g;Thhalv10001832m
Thhalv10011029m.g;Thhalv10011029m
Thhalv10001258m.g;Thhalv10001258m
Thhalv10017742m.g;Thhalv10017742m
Thhalv10001268m.g;Thhalv10001268m
Thhalv10028154m.g;Thhalv10028154m
Thhalv10010766m.g;Thhalv10010766m
Thhalv10010960m.g;Thhalv10010960m
Thhalv10022514m.g;Thhalv10022514m
XLOC_006396;NewES_00019310
XLOC_006355;NewES_00017339
Thhalv10023011m.g;Thhalv10023011m
XLOC_006100;NewES_00018829
XLOC_021415;NewES_00073473
Thhalv10001851m.g;Thhalv10001851m
Thhalv10022839m.g;Thhalv10022839m
XLOC_021247;NewES_00060916
Thhalv10022998m.g;Thhalv10022998m
Thhalv10028241m.g;Thhalv10028241m
XLOC_004583;NewES_00011603
XLOC_004572;NewES_00015511
XLOC_018984;NewES_00058979
XLOC_018934;NewES_00055816
Thhalv10000719m.g;Thhalv10000719m
XLOC_006745;NewES_00020983
Thhalv10011034m.g;Thhalv10011034m
Thhalv10023008m.g;Thhalv10023008m
XLOC_031436;NewES_00090240
XLOC_006494;NewES_00020924
XLOC_006442;NewES_00018913
XLOC_006647;NewES_00019911
